Ultrapar Participacoes S.A PE Ratio Historical Data,Ultrapar Participacoes S.A PE Ratio Historical Data,Ultrapar Participacoes S.A PE Ratio Historical Data,Ultrapar Participacoes S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.68,,7.08
2024-06-30,3.87,$0.52,7.44
2024-03-31,5.66,$0.48,11.8
2023-12-31,5.29,$0.45,11.76
2023-09-30,3.58,$0.39,9.19
2023-06-30,3.78,$0.24,15.77
2023-03-31,2.63,$0.28,9.39
2022-12-31,2.31,$0.31,7.46
2022-09-30,2.09,$0.23,9.1
2022-06-30,2.25,$0.28,8.02
2022-03-31,2.82,$0.19,14.83
2021-12-31,2.43,$0.13,18.65
2021-09-30,2.48,$0.14,17.72
2021-06-30,3.41,$0.13,26.21
2021-03-31,3.46,$0.15,23.08
2020-12-31,4.01,$0.16,25.08
2020-09-30,3.03,$0.03,100.98
2020-06-30,3.0,$0.05,60.06
2020-03-31,2.15,$0.07,30.75
2019-12-31,5.48,$0.10,54.77
2019-09-30,3.91,$0.29,13.72
2019-06-30,4.53,$0.29,15.61
2019-03-31,5.16,$0.32,16.14
2018-12-31,5.77,$0.28,20.62
2018-09-30,3.95,$0.27,14.62
2018-06-30,4.98,$0.36,14.03
2018-03-31,9.1,$0.37,24.92
2017-12-31,9.45,$0.45,21.0
2017-09-30,9.9,$0.46,21.76
2017-06-30,9.66,$0.40,24.16
2017-03-31,9.33,$0.43,21.96
2016-12-31,8.4,$0.41,20.49
2016-09-30,8.87,$0.41,21.63
2016-06-30,8.83,$0.38,23.22
2016-03-31,7.73,$0.39,20.08
2015-12-31,6.03,$0.41,14.71
2015-09-30,6.61,$0.41,16.33
2015-06-30,8.21,$0.45,18.25
2015-03-31,7.89,$0.47,16.8
2014-12-31,7.37,$0.46,16.2
2014-09-30,8.16,$0.49,16.83
2014-06-30,9.0,$0.50,18.01
2014-03-31,9.19,$0.50,18.57
2013-12-31,8.91,$0.51,17.46
2013-09-30,9.26,$0.51,18.16
2013-06-30,8.91,$0.51,17.64
2013-03-31,9.44,$0.50,19.07
2012-12-31,8.18,$0.48,17.22
2012-09-30,8.19,$0.45,18.21
2012-06-30,8.24,$0.44,18.72
2012-03-31,7.88,$0.46,17.13
2011-12-31,6.17,$0.48,12.98
2011-09-30,5.67,$0.49,11.7
2011-06-30,6.39,$0.48,13.28
2011-03-31,5.97,$0.46,12.99
2010-12-31,5.6,$0.42,13.21
2010-09-30,5.3,$0.37,14.28
2010-06-30,4.04,$0.33,12.34
2010-03-31,4.14,$0.27,15.4
2009-12-31,3.95,$0.24,16.72
