Aercap Holdings PE Ratio Historical Data,Aercap Holdings PE Ratio Historical Data,Aercap Holdings PE Ratio Historical Data,Aercap Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,97.97,,6.31
2024-06-30,92.95,$15.53,5.99
2024-03-31,86.44,$15.37,5.62
2023-12-31,73.92,$14.14,5.23
2023-09-30,62.33,$10.81,5.77
2023-06-30,63.18,$7.77,8.13
2023-03-31,55.93,$7.05,7.93
2022-12-31,58.01,$-3.09,0.0
2022-09-30,42.1,$-4.69,0.0
2022-06-30,40.72,$-3.16,0.0
2022-03-31,50.01,$-2.64,0.0
2021-12-31,65.07,$7.47,8.71
2021-09-30,57.5,$7.25,7.93
2021-06-30,50.93,$-2.76,0.0
2021-03-31,58.42,$-2.76,0.0
2020-12-31,45.33,$-2.38,0.0
2020-09-30,25.05,$-0.26,0.0
2020-06-30,30.63,$8.41,3.64
2020-03-31,22.67,$8.91,2.54
2019-12-31,61.14,$8.45,7.24
2019-09-30,54.45,$7.73,7.04
2019-06-30,51.73,$7.51,6.89
2019-03-31,46.29,$6.79,6.82
2018-12-31,39.39,$6.83,5.77
2018-09-30,57.21,$6.88,8.32
2018-06-30,53.86,$6.71,8.03
2018-03-31,50.45,$6.68,7.55
2017-12-31,52.33,$6.44,8.13
2017-09-30,50.83,$6.78,7.5
2017-06-30,46.18,$6.38,7.24
2017-03-31,45.72,$5.93,7.71
2016-12-31,41.39,$5.58,7.42
2016-09-30,38.28,$4.90,7.81
2016-06-30,33.41,$5.16,6.47
2016-03-31,38.55,$5.40,7.14
2015-12-31,42.93,$5.72,7.5
2015-09-30,38.03,$5.78,6.58
2015-06-30,45.54,$5.89,7.73
2015-03-31,43.41,$5.26,8.25
2014-12-31,38.61,$4.28,9.02
2014-09-30,40.68,$3.46,11.76
2014-06-30,45.55,$2.60,17.52
2014-03-31,41.96,$2.44,17.2
2013-12-31,38.14,$2.56,14.9
2013-09-30,19.36,$2.08,9.31
2013-06-30,17.37,$1.80,9.65
2013-03-31,15.37,$1.34,11.47
2012-12-31,13.65,$1.21,11.28
2012-09-30,12.43,$1.66,7.49
2012-06-30,11.22,$1.16,9.67
2012-03-31,11.05,$1.16,9.53
2011-12-31,11.23,$1.18,9.52
2011-09-30,9.87,$1.17,8.43
2011-06-30,12.94,$1.65,7.84
2011-03-31,12.5,$1.85,6.76
2010-12-31,14.04,$1.77,7.93
2010-09-30,11.77,$1.75,6.72
2010-06-30,10.32,$1.74,5.93
2010-03-31,11.46,$2.00,5.73
2009-12-31,9.01,$1.95,4.62
