Korea Electric Power PE Ratio Historical Data,Korea Electric Power PE Ratio Historical Data,Korea Electric Power PE Ratio Historical Data,Korea Electric Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.46,,4.75
2024-06-30,7.09,$1.57,4.52
2024-03-31,8.33,$0.34,24.5
2023-12-31,7.25,$-3.01,0.0
2023-09-30,6.44,$-8.20,0.0
2023-06-30,7.75,$-12.11,0.0
2023-03-31,6.94,$-13.93,0.0
2022-12-31,8.64,$-14.76,0.0
2022-09-30,6.8,$-12.71,0.0
2022-06-30,8.78,$-10.00,0.0
2022-03-31,9.31,$-7.47,0.0
2021-12-31,9.14,$-3.56,0.0
2021-09-30,9.87,$-0.76,0.0
2021-06-30,10.8,$0.74,14.59
2021-03-31,10.26,$1.32,7.77
2020-12-31,12.27,$1.27,9.66
2020-09-30,8.34,$0.05,166.84
2020-06-30,7.64,$-0.57,0.0
2020-03-31,7.23,$-0.98,0.0
2019-12-31,11.33,$-1.54,0.0
2019-09-30,10.38,$-1.27,0.0
2019-06-30,10.63,$-0.92,0.0
2019-03-31,12.46,$-1.28,0.0
2018-12-31,14.13,$-0.93,0.0
2018-09-30,12.61,$-0.36,0.0
2018-06-30,13.73,$0.19,72.29
2018-03-31,14.74,$1.09,13.52
2017-12-31,16.96,$1.90,8.93
2017-09-30,15.72,$3.93,4.0
2017-06-30,16.86,$3.96,4.26
2017-03-31,19.45,$5.06,3.84
2016-09-30,21.85,$5.54,3.94
2016-06-30,23.24,$9.97,2.33
2016-03-31,23.08,$9.80,2.36
2015-12-31,18.97,$9.32,2.04
2015-09-30,18.36,$8.41,2.18
2015-06-30,18.25,$2.29,7.97
2015-03-31,18.37,$2.60,7.07
2016-12-31,17.34,$1.87,9.27
2014-12-31,17.35,$2.07,8.38
2014-09-30,20.11,$2.16,9.31
2014-06-30,16.49,$1.60,10.31
2014-03-31,15.39,$0.31,49.64
2013-12-31,14.89,$0.03,496.24
2013-09-30,12.55,$-0.41,0.0
2013-06-30,10.11,$-1.07,0.0
2013-03-31,12.15,$0.10,121.51
2012-12-31,12.49,0,0.0
2012-09-30,11.11,0,0.0
2012-06-30,10.0,0,0.0
2012-03-31,8.7,0,0.0
2011-12-31,9.82,$-0.06,0.0
2010-12-31,12.08,$-0.06,0.0
2010-03-31,14.52,$-0.06,0.0
