Mueller Industries PE Ratio Historical Data,Mueller Industries PE Ratio Historical Data,Mueller Industries PE Ratio Historical Data,Mueller Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.0,,15.29
2024-06-30,56.77,$4.84,11.73
2024-03-31,53.77,$4.99,10.77
2023-12-31,46.83,$5.32,8.81
2023-09-30,37.19,$5.50,6.77
2023-06-30,43.02,$5.70,7.55
2023-03-31,36.07,$5.96,6.05
2022-12-31,28.84,$5.82,4.96
2022-09-30,28.95,$5.69,5.09
2022-06-30,25.86,$5.83,4.44
2022-03-31,26.17,$4.96,5.28
2021-12-31,28.55,$4.13,6.92
2021-09-30,19.72,$3.34,5.91
2021-06-30,20.72,$2.22,9.36
2021-03-31,19.73,$1.51,13.11
2020-12-31,16.7,$1.24,13.52
2020-09-30,12.83,$1.17,11.02
2020-06-30,12.56,$1.05,12.02
2020-03-31,11.28,$1.05,10.79
2019-12-31,14.89,$0.90,16.54
2019-09-30,13.41,$0.89,15.15
2019-06-30,13.63,$0.80,17.04
2019-03-31,14.54,$0.84,17.31
2018-12-31,10.8,$0.91,11.87
2018-09-30,13.35,$0.73,18.41
2018-06-30,13.55,$0.75,18.18
2018-03-31,11.97,$0.70,17.22
2017-12-31,16.15,$0.75,21.68
2017-09-30,15.89,$0.85,18.8
2017-06-30,13.8,$0.88,15.77
2017-03-31,15.46,$0.64,24.34
2016-12-31,18.0,$0.63,28.8
2016-09-30,14.57,$0.60,24.28
2016-06-30,14.28,$0.53,26.95
2016-03-31,13.14,$0.83,15.92
2015-12-31,12.07,$0.77,15.67
2015-09-30,13.14,$0.81,16.32
2015-06-30,15.39,$0.86,17.89
2015-03-31,15.98,$0.88,18.26
2014-12-31,15.07,$0.90,16.74
2014-09-30,12.57,$0.88,14.36
2014-06-30,12.92,$1.02,12.69
2014-03-31,13.14,$1.52,8.67
2013-12-31,13.77,$1.53,9.01
2013-09-30,12.14,$1.54,7.89
2013-06-30,10.97,$1.29,8.52
2013-03-31,11.56,$0.60,19.35
2012-12-31,10.83,$0.58,18.75
2012-09-30,9.82,$0.52,18.97
2012-06-30,9.17,$0.48,19.01
2012-03-31,9.77,$0.51,19.06
2011-12-31,8.24,$0.57,14.52
2011-09-30,8.25,$0.60,13.75
2011-06-30,8.09,$0.66,12.3
2011-03-31,7.79,$0.61,12.72
2010-12-31,6.94,$0.57,12.17
2010-09-30,5.6,$0.34,16.72
2010-06-30,5.18,$0.34,15.46
2010-03-31,5.62,$0.27,20.63
2009-12-31,5.19,$0.03,172.96
