Aegon PE Ratio Historical Data,Aegon PE Ratio Historical Data,Aegon PE Ratio Historical Data,Aegon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.36,,0.0
2024-06-30,5.95,$-0.07,0.0
2023-06-30,4.65,$-0.27,0.0
2022-12-31,4.5,$-0.15,0.0
2022-09-30,3.53,$-0.15,0.0
2022-06-30,3.82,$-0.10,0.0
2022-03-31,4.52,$0.58,7.8
2021-12-31,4.23,$0.65,6.5
2021-09-30,4.35,$1.19,3.66
2021-06-30,3.47,$1.51,2.3
2021-03-31,3.91,$1.32,2.96
2017-12-31,4.56,$1.28,3.56
2017-09-30,4.19,$0.99,4.23
2017-06-30,3.6,$0.91,3.96
2017-03-31,3.51,$0.40,8.79
2016-12-31,3.79,$0.30,12.63
2016-09-30,2.64,$0.28,9.45
2016-06-30,2.65,$-0.20,0.0
2016-03-31,3.53,$0.19,18.58
2015-12-31,3.64,$0.28,13.0
2015-09-30,3.69,$0.27,13.67
2015-06-30,4.65,$0.57,8.16
2015-03-31,4.9,$0.60,8.17
2014-12-31,4.64,$0.69,6.72
2014-09-30,5.08,$0.55,9.24
2014-06-30,5.32,$0.65,8.19
2014-03-31,5.49,$0.54,10.16
2013-12-31,5.65,$0.42,13.46
2013-09-30,4.41,$0.63,7.0
2013-06-30,3.95,$0.74,5.34
2013-03-31,3.44,$0.75,4.58
2012-12-31,3.68,$0.93,3.96
2012-09-30,2.98,$0.66,4.52
2012-06-30,2.58,$0.45,5.74
2012-03-31,3.01,$0.29,10.39
2011-12-31,2.18,$-0.10,0.0
2011-09-30,2.19,$0.10,21.95
2011-06-30,3.68,$0.50,7.37
2011-03-31,4.06,$0.76,5.35
2010-12-31,3.32,$1.07,3.1
2010-09-30,3.25,$1.02,3.18
2010-06-30,2.86,$0.70,4.09
2010-03-31,3.69,$0.21,17.57
2009-12-31,3.47,$-0.23,0.0
