Lincoln National PE Ratio Historical Data,Lincoln National PE Ratio Historical Data,Lincoln National PE Ratio Historical Data,Lincoln National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.62,,3.55
2024-06-30,30.23,$9.48,3.19
2024-03-31,30.57,$7.31,4.18
2023-12-31,25.41,$-4.99,0.0
2023-09-30,22.82,$2.37,9.63
2023-06-30,23.4,$-17.59,0.0
2023-03-31,19.98,$-19.19,0.0
2022-12-31,26.92,$-13.24,0.0
2022-09-30,38.11,$-12.05,0.0
2022-06-30,40.21,$4.80,8.38
2022-03-31,55.81,$6.80,8.21
2021-12-31,57.93,$7.38,7.85
2021-09-30,58.01,$6.92,8.38
2021-06-30,52.66,$7.25,7.26
2021-03-31,51.84,$3.42,15.16
2020-12-31,41.54,$2.41,17.24
2020-09-30,25.58,$3.82,6.7
2020-06-30,29.68,$0.98,30.28
2020-03-31,20.99,$3.26,6.44
2019-12-31,46.74,$4.33,10.79
2019-09-30,47.45,$3.98,11.92
2019-06-30,50.42,$7.05,7.15
2019-03-31,45.65,$6.96,6.56
2018-12-31,39.63,$7.38,5.37
2018-09-30,52.02,$9.25,5.62
2018-06-30,47.62,$8.88,5.36
2018-03-31,55.62,$8.99,6.19
2017-12-31,58.28,$9.24,6.31
2017-09-30,55.5,$6.39,8.68
2017-06-30,50.83,$6.52,7.8
2017-03-31,49.01,$6.06,8.09
2016-12-31,49.41,$4.99,9.9
2016-09-30,34.85,$5.31,6.56
2016-06-30,28.57,$4.18,6.83
2016-03-31,28.69,$4.18,6.86
2015-12-31,36.59,$4.51,8.11
2015-09-30,34.41,$4.69,7.34
2015-06-30,42.79,$5.47,7.82
2015-03-31,41.37,$5.60,7.39
2014-12-31,41.37,$5.66,7.31
2014-09-30,38.32,$5.63,6.81
2014-06-30,36.67,$5.21,7.04
2014-03-31,36.01,$4.88,7.38
2013-12-31,36.57,$4.53,8.07
2013-09-30,29.66,$4.38,6.77
2013-06-30,25.68,$4.56,5.63
2013-03-31,22.87,$4.51,5.07
2012-12-31,18.09,$4.48,4.04
2012-09-30,16.84,$1.61,10.46
2012-06-30,15.17,$0.64,23.7
2012-03-31,18.22,$0.55,33.13
2011-12-31,13.37,$0.77,17.37
2011-09-30,10.73,$3.10,3.46
2011-06-30,19.52,$3.41,5.72
2011-03-31,20.55,$2.73,7.53
2010-12-31,18.99,$2.53,7.51
2010-09-30,16.33,$2.20,7.42
2010-06-30,16.57,$1.89,8.77
2010-03-31,20.94,$0.94,22.28
2009-12-31,16.97,$-2.18,0.0
