Howard Hughes Holdings PE Ratio Historical Data,Howard Hughes Holdings PE Ratio Historical Data,Howard Hughes Holdings PE Ratio Historical Data,Howard Hughes Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,76.52,,0.0
2024-06-30,64.82,$-10.92,0.0
2024-03-31,72.62,$-11.73,0.0
2023-12-31,85.55,$-11.13,0.0
2023-09-30,74.13,$-10.75,0.0
2023-06-30,78.92,$2.41,32.75
2023-03-31,80.0,$3.22,24.84
2022-12-31,76.42,$3.72,20.54
2022-09-30,55.39,$4.74,11.69
2022-06-30,68.05,$2.62,25.97
2022-03-31,103.61,$2.29,45.24
2021-12-31,101.78,$1.05,96.93
2021-09-30,87.81,$-1.16,0.0
2021-06-30,97.46,$1.28,76.14
2021-03-31,95.13,$0.58,164.02
2020-12-31,78.93,$-1.10,0.0
2020-09-30,57.6,$-1.01,0.0
2020-06-30,51.95,$-2.83,0.0
2020-03-31,50.52,$-1.91,0.0
2019-12-31,126.8,$1.83,69.29
2019-09-30,129.6,$2.40,54.0
2019-06-30,123.84,$1.59,77.89
2018-12-31,97.62,$1.31,74.52
2018-09-30,124.22,$3.91,31.77
2018-06-30,132.5,$3.61,36.7
2018-03-31,139.13,$3.80,36.61
2017-12-31,131.27,$3.90,33.66
2017-09-30,117.93,$1.46,80.77
2017-06-30,122.84,$1.41,87.12
2017-03-31,117.25,$1.50,78.17
2016-12-31,114.1,$4.06,28.1
2016-09-30,114.5,$3.63,31.54
2016-06-30,114.32,$4.20,27.22
2016-03-31,105.89,$4.22,25.09
2015-12-31,113.16,$-1.15,0.0
2015-09-30,114.74,$-2.92,0.0
2015-06-30,143.54,$-3.20,0.0
2015-03-31,155.02,$-3.75,0.0
2014-12-31,130.42,$-3.26,0.0
2014-09-30,150.0,$-1.64,0.0
2014-06-30,157.83,$-1.95,0.0
2014-03-31,142.71,$-3.52,0.0
2013-12-31,120.1,$-1.92,0.0
2013-09-30,112.37,$-1.62,0.0
2013-06-30,112.09,$-1.80,0.0
2013-03-31,83.81,$-1.16,0.0
2019-03-31,110.0,$-0.30,0.0
2012-12-31,73.02,$-4.00,0.0
2012-09-30,71.05,$-3.19,0.0
2012-06-30,61.64,$-2.03,0.0
2012-03-31,63.87,$-2.08,0.0
2011-12-31,44.17,$-2.14,0.0
2011-09-30,42.1,$-3.06,0.0
