Axalta Coating Systems PE Ratio Historical Data,Axalta Coating Systems PE Ratio Historical Data,Axalta Coating Systems PE Ratio Historical Data,Axalta Coating Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.51,,27.04
2024-06-30,34.17,$1.35,25.31
2024-03-31,34.39,$1.11,30.98
2023-12-31,33.97,$1.20,28.31
2023-09-30,26.9,$1.07,25.14
2023-06-30,32.81,$1.02,32.17
2023-03-31,30.29,$0.95,31.88
2022-12-31,25.47,$0.86,29.62
2022-09-30,21.06,$0.89,23.66
2022-06-30,22.11,$0.91,24.3
2022-03-31,24.58,$1.25,19.66
2021-12-31,33.12,$1.13,29.31
2021-09-30,29.19,$1.20,24.33
2021-06-30,30.49,$1.25,24.39
2021-03-31,29.58,$0.36,82.17
2020-12-31,28.55,$0.52,54.9
2020-09-30,22.17,$0.40,55.43
2020-06-30,22.55,$0.33,68.33
2020-03-31,17.27,$1.10,15.7
2019-12-31,30.4,$1.06,28.68
2019-09-30,30.15,$1.20,25.13
2019-06-30,29.77,$0.87,34.22
2019-03-31,25.21,$0.76,33.17
2018-12-31,23.42,$0.86,27.23
2018-09-30,29.16,$0.28,104.14
2018-06-30,30.31,$0.55,55.11
2018-03-31,30.19,$0.15,201.27
2017-12-31,32.36,$0.13,248.92
2017-09-30,28.92,$0.24,120.5
2017-06-30,32.04,$-0.02,0.0
2017-03-31,32.2,$0.27,119.26
2016-12-31,27.2,$0.13,209.23
2016-09-30,28.27,$0.44,64.25
2016-06-30,26.53,$0.63,42.11
2016-03-31,29.2,$0.32,91.25
2015-12-31,26.65,$0.39,68.33
2015-09-30,25.34,$0.22,115.18
