Freshpet PE Ratio Historical Data,Freshpet PE Ratio Historical Data,Freshpet PE Ratio Historical Data,Freshpet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,139.29,,278.58
2024-06-30,129.39,$0.50,258.78
2024-03-31,115.86,$0.18,643.67
2023-12-31,86.76,$-0.71,0.0
2023-09-30,65.88,$-1.08,0.0
2023-06-30,65.81,$-1.32,0.0
2023-03-31,66.19,$-1.42,0.0
2022-12-31,52.77,$-1.30,0.0
2022-09-30,50.09,$-1.45,0.0
2022-06-30,51.89,$-1.11,0.0
2022-03-31,102.64,$-0.83,0.0
2021-12-31,95.27,$-0.69,0.0
2021-09-30,142.69,$-0.56,0.0
2021-06-30,162.96,$-0.42,0.0
2021-03-31,158.81,$-0.25,0.0
2020-12-31,141.99,$-0.09,0.0
2020-09-30,111.65,$0.11,1015.0
2020-06-30,83.66,$0.10,836.6
2020-03-31,63.87,$-0.06,0.0
2019-12-31,59.09,$-0.06,0.0
2019-09-30,49.77,$-0.13,0.0
2019-06-30,45.51,$-0.21,0.0
2019-03-31,42.29,$-0.15,0.0
2018-12-31,32.16,$-0.15,0.0
2018-09-30,36.7,$-0.16,0.0
2018-06-30,27.45,$-0.17,0.0
2018-03-31,16.45,$-0.15,0.0
2017-12-31,18.95,$-0.14,0.0
2017-09-30,15.65,$-0.14,0.0
2017-06-30,16.6,$-0.11,0.0
2017-03-31,11.0,$-0.08,0.0
2016-12-31,10.15,$0.09,112.78
2016-09-30,8.65,$-0.00,0.0
2016-03-31,7.33,$-0.09,0.0
2015-12-31,8.49,$-0.12,0.0
2015-09-30,10.5,$-1.40,0.0
2015-06-30,18.6,$-1.45,0.0
