Embraer-Empresa Brasileira De Aeronautica PE Ratio Historical Data,Embraer-Empresa Brasileira De Aeronautica PE Ratio Historical Data,Embraer-Empresa Brasileira De Aeronautica PE Ratio Historical Data,Embraer-Empresa Brasileira De Aeronautica PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.3,,16.49
2024-06-30,25.8,$2.08,12.4
2024-03-31,26.64,$1.44,18.5
2023-12-31,18.45,$0.89,20.73
2023-09-30,13.72,$-0.04,0.0
2023-06-30,15.46,$-0.53,0.0
2023-03-31,16.37,$-0.03,0.0
2022-12-31,10.93,$0.19,57.53
2022-09-30,8.6,$0.08,107.5
2022-06-30,8.78,$-0.01,0.0
2022-03-31,12.61,$0.07,180.14
2021-12-31,17.75,$-0.25,0.0
2021-09-30,17.0,$-0.28,0.0
2021-06-30,15.14,$-0.69,0.0
2021-03-31,10.01,$-2.88,0.0
2020-12-31,6.81,$-3.98,0.0
2020-09-30,4.41,$-5.10,0.0
2020-06-30,5.98,$-4.86,0.0
2020-03-31,7.4,$-3.11,0.0
2019-12-31,19.49,$-1.75,0.0
2019-09-30,17.25,$-0.71,0.0
2019-06-30,20.13,$-0.41,0.0
2019-03-31,19.01,$-1.14,0.0
2018-12-31,22.13,$-0.98,0.0
2018-09-30,19.58,$-0.69,0.0
2018-06-30,24.89,$0.03,829.59
2018-03-31,25.89,$1.04,24.89
2017-12-31,23.81,$1.34,17.77
2017-09-30,22.41,$2.21,10.14
2017-06-30,18.03,$1.43,12.61
2017-03-31,21.64,$0.57,37.96
2016-12-31,18.82,$0.91,20.68
2016-09-30,16.88,$0.46,36.69
2016-06-30,21.21,$0.04,530.17
2016-03-31,25.68,$1.29,19.91
2015-12-31,28.73,$0.38,75.59
2015-09-30,24.84,$0.27,92.0
2015-06-30,29.36,$0.81,36.25
2015-03-31,29.73,$0.88,33.79
2014-12-31,35.58,$1.82,19.55
2014-09-30,37.66,$2.76,13.65
2014-06-30,34.91,$3.11,11.23
2014-03-31,33.81,$2.30,14.7
2013-12-31,30.57,$1.86,16.44
2013-09-30,30.7,$1.10,27.91
2013-06-30,34.81,$1.17,29.75
2013-03-31,33.51,$1.50,22.34
2012-12-31,26.72,$1.69,15.81
2012-09-30,24.86,$0.50,49.72
2012-06-30,24.64,$0.15,164.29
2012-03-31,29.5,$0.38,77.62
2011-12-31,23.26,$0.61,38.13
2011-09-30,23.4,$1.80,13.0
2011-06-30,28.16,$2.33,12.08
2011-03-31,30.57,$2.19,13.96
2010-12-31,26.56,$1.81,14.67
2010-09-30,25.24,$1.94,13.01
2010-06-30,18.58,$1.72,10.8
2010-03-31,21.0,$1.71,12.28
2009-12-31,19.38,$1.38,14.04
