BGC PE Ratio Historical Data,BGC PE Ratio Historical Data,BGC PE Ratio Historical Data,BGC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.49,,37.96
2024-06-30,8.3,$0.25,33.2
2024-03-31,7.77,$0.12,64.75
2023-12-31,7.22,$0.07,103.14
2023-09-30,5.28,$0.04,132.0
2023-06-30,4.43,$0.02,221.5
2023-03-31,5.22,$0.11,47.44
2022-12-31,3.75,$0.13,28.88
2022-09-30,3.12,$0.32,9.75
2022-06-30,3.34,$0.28,11.93
2022-03-31,4.35,$0.29,14.99
2021-12-31,4.58,$0.33,13.89
2021-09-30,5.12,$0.12,42.69
2021-06-30,5.57,$0.20,27.83
2021-03-31,4.73,$0.22,21.51
2020-12-31,3.91,$0.15,26.07
2020-09-30,2.34,$0.11,21.27
2020-06-30,2.66,$0.05,53.22
2020-03-31,2.44,$0.01,0.0
2019-12-31,5.6,$0.15,37.3
2019-09-30,5.05,$0.14,36.1
2019-06-30,4.68,$0.50,9.35
2019-03-31,4.61,$0.57,8.08
2018-12-31,4.38,$0.58,7.56
2018-09-30,9.86,$0.23,42.88
2018-06-30,9.3,$0.16,58.12
2018-03-31,10.89,$0.13,83.76
2017-12-31,12.07,$0.00,0.0
2017-09-30,11.42,$0.47,24.3
2017-06-30,9.84,$0.40,24.59
2017-03-31,8.7,$0.39,22.3
2016-12-31,7.73,$0.38,20.33
2016-09-30,6.5,$0.56,11.61
2016-06-30,6.36,$0.50,12.71
2016-03-31,6.49,$0.48,13.52
2015-12-31,6.92,$0.49,14.12
2015-09-30,5.71,$0.17,33.59
2015-06-30,5.99,$0.05,119.77
2015-03-31,6.37,$0.04,159.33
2014-12-31,6.09,$0.02,304.44
2014-09-30,4.88,$0.12,40.65
2014-06-30,4.81,$0.20,24.04
2014-03-31,4.16,$0.35,11.88
2013-12-31,3.78,$0.35,10.8
2013-09-30,3.45,$0.42,8.21
2013-06-30,3.53,$0.31,11.38
2013-03-31,2.44,$0.14,17.43
2012-12-31,1.97,$0.13,15.18
2012-09-30,2.7,$0.02,134.86
2012-06-30,3.12,$0.11,28.39
2011-12-31,3.01,$0.19,15.84
2011-09-30,2.98,$0.28,10.64
2011-06-30,3.72,$0.36,10.35
2011-03-31,4.39,$0.34,12.9
2010-12-31,3.87,$0.34,11.37
2012-03-31,3.83,$0.17,22.55
2010-09-30,2.73,$0.18,15.16
2010-06-30,2.28,$0.14,16.25
2010-03-31,2.66,$0.15,17.76
2009-12-31,1.99,$0.30,6.64
