CNH Industrial PE Ratio Historical Data,CNH Industrial PE Ratio Historical Data,CNH Industrial PE Ratio Historical Data,CNH Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.1,,7.25
2024-06-30,10.13,$1.53,6.62
2024-03-31,12.45,$1.71,7.28
2023-12-31,11.7,$1.75,6.69
2023-09-30,11.63,$1.72,6.76
2023-06-30,13.84,$1.71,8.09
2023-03-31,14.27,$1.59,8.97
2022-12-31,15.01,$1.48,10.14
2022-09-30,10.44,$1.27,8.22
2022-06-30,10.83,$1.37,7.91
2022-03-31,14.54,$1.27,11.45
2021-12-31,17.81,$1.15,15.49
2021-06-30,15.33,$0.23,66.64
2021-03-31,14.21,$-0.02,0.0
2020-12-31,11.67,$-0.37,0.0
2020-09-30,7.11,$-0.41,0.0
2020-06-30,6.39,$0.76,8.41
2020-03-31,5.1,$0.81,6.29
2019-12-31,10.0,$1.05,9.52
2019-09-30,9.22,$1.16,7.95
2019-06-30,9.34,$0.85,10.99
2019-03-31,9.1,$0.83,10.97
2018-12-31,8.22,$0.78,10.54
2018-09-30,10.72,$0.56,19.14
2018-06-30,9.4,$0.64,14.68
2018-03-31,10.91,$0.39,27.98
2017-12-31,11.79,$0.43,27.43
2021-09-30,15.23,$0.49,31.07
2017-09-30,10.57,$0.32,33.03
2017-06-30,10.02,$0.31,32.31
2017-03-31,8.39,$0.23,36.47
2016-12-31,7.56,$-0.18,0.0
2016-09-30,6.28,$-0.08,0.0
2016-06-30,6.22,$-0.20,0.0
2016-03-31,5.76,$-0.21,0.0
2015-12-31,5.83,$0.19,30.69
2015-09-30,5.56,$0.08,69.49
2015-06-30,7.91,$0.30,26.38
2015-03-31,6.79,$0.47,14.44
2014-12-31,6.7,$0.52,12.89
2014-09-30,6.6,$0.46,14.34
2014-06-30,8.5,$0.55,15.45
