SiTime PE Ratio Historical Data,SiTime PE Ratio Historical Data,SiTime PE Ratio Historical Data,SiTime PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,173.0,,0.0
2024-06-30,124.38,$-4.12,0.0
2024-03-31,93.23,$-4.13,0.0
2023-12-31,122.08,$-3.63,0.0
2023-09-30,114.25,$-2.81,0.0
2023-06-30,117.97,$-1.74,0.0
2023-03-31,142.23,0,0.0
2022-12-31,101.62,$1.03,98.66
2022-09-30,78.73,$2.00,39.37
2022-06-30,163.03,$2.40,67.93
2022-03-31,247.82,$1.93,128.4
2021-12-31,292.54,$1.46,200.37
2021-09-30,204.17,$0.66,309.35
2021-06-30,126.59,$-0.04,0.0
2021-03-31,98.6,$-0.48,0.0
2020-12-31,111.93,$-0.23,0.0
2020-09-30,84.03,$-0.69,0.0
