Leonardo DRS PE Ratio Historical Data,Leonardo DRS PE Ratio Historical Data,Leonardo DRS PE Ratio Historical Data,Leonardo DRS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.85,,40.63
2024-06-30,25.51,$0.71,35.93
2024-03-31,22.09,$0.70,31.56
2023-12-31,20.04,$0.64,31.31
2023-09-30,16.7,$0.64,26.09
2023-06-30,17.34,$2.38,7.29
2023-03-31,12.97,$2.16,6.0
2022-12-31,12.78,$2.10,6.09
2022-09-30,9.63,$1.92,5.02
2022-06-30,9.24,$0.12,77.0
2022-03-31,13.93,$0.41,33.98
2021-12-31,9.42,$0.50,18.84
2021-09-30,10.64,$0.46,23.13
2021-06-30,12.18,$0.39,31.23
2021-03-31,12.01,$0.21,57.19
2020-12-31,9.75,$0.13,75.0
2020-09-30,5.93,$0.06,98.83
2020-06-30,6.54,$-0.01,0.0
2020-03-31,3.5,$-0.04,0.0
2019-12-31,5.19,$-0.05,0.0
2019-09-30,4.76,$-0.04,0.0
2019-06-30,3.29,$-0.02,0.0
2019-03-31,2.94,$-0.01,0.0
2018-12-31,2.58,$0.01,258.0
2018-09-30,2.93,$0.03,97.67
2018-06-30,3.08,$0.06,51.33
2018-03-31,2.36,$0.08,29.5
2017-12-31,3.08,$0.09,34.22
2017-09-30,3.41,$0.04,85.25
2017-06-30,1.8,$-0.05,0.0
2017-03-31,1.12,$-0.21,0.0
2016-12-31,1.16,$-0.47,0.0
2016-09-30,1.1,$-0.68,0.0
2016-06-30,1.17,$-0.88,0.0
2016-03-31,0.8,$-1.18,0.0
2015-12-31,0.71,$-1.12,0.0
2015-09-30,1.47,$-0.90,0.0
2015-06-30,3.86,$-0.68,0.0
2015-03-31,5.8,$-0.16,0.0
2014-12-31,5.0,$0.06,83.33
2014-09-30,5.96,$0.08,74.5
2014-06-30,2.78,$0.24,11.58
2014-03-31,3.12,$-0.04,0.0
2013-12-31,2.9,$-0.34,0.0
2013-09-30,2.88,$-0.38,0.0
2013-06-30,2.94,$-0.64,0.0
2013-03-31,2.28,$-0.48,0.0
2012-12-31,2.1,$-0.40,0.0
2012-09-30,2.3,$-0.48,0.0
2012-06-30,2.14,$-0.68,0.0
2012-03-31,3.96,$-0.60,0.0
2011-12-31,3.85,$-0.34,0.0
2011-09-30,3.96,$0.02,198.0
2011-06-30,7.9,$0.38,20.79
2011-03-31,6.94,$0.36,19.28
2010-12-31,4.94,$0.16,30.88
2010-09-30,5.0,$0.12,41.67
2010-06-30,4.4,$0.14,31.43
2010-03-31,5.16,$-0.10,0.0
2009-12-31,4.46,$0.04,111.4
