Aramark PE Ratio Historical Data,Aramark PE Ratio Historical Data,Aramark PE Ratio Historical Data,Aramark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.02,,29.79
2024-06-30,33.93,$1.31,25.9
2024-03-31,32.34,$2.38,13.59
2023-12-31,27.86,$2.39,11.66
2023-09-30,34.29,$2.56,13.39
2023-06-30,42.41,$2.07,20.49
2023-03-31,35.17,$0.94,37.41
2022-12-31,40.49,$0.87,46.54
2022-09-30,30.47,$0.76,40.1
2022-06-30,29.83,$0.61,48.9
2022-03-31,36.5,$0.58,62.94
2021-12-31,35.67,$0.12,297.24
2021-09-30,31.71,$-0.64,0.0
2021-06-30,35.83,$-1.79,0.0
2020-12-31,36.79,$-2.72,0.0
2020-09-30,25.21,$-1.83,0.0
2020-06-30,21.41,$-0.90,0.0
2020-03-31,18.86,$-0.19,0.0
2019-12-31,40.89,$0.94,43.5
2019-09-30,40.95,$0.49,83.57
2021-03-31,36.23,$1.14,31.78
2019-06-30,33.79,$2.13,15.86
2019-03-31,27.59,$2.09,13.2
2018-12-31,26.95,$2.08,12.96
2018-09-30,39.91,$2.25,17.74
2018-06-30,34.33,$2.01,17.08
2018-03-31,36.5,$1.98,18.44
2017-12-31,39.33,$2.15,18.3
2017-09-30,37.28,$1.49,25.02
2017-06-30,37.52,$1.37,27.39
2017-03-31,33.66,$1.29,26.1
2016-12-31,32.52,$1.28,25.41
2016-09-30,34.52,$1.16,29.76
2016-06-30,30.26,$1.06,28.55
2016-03-31,29.9,$1.02,29.32
2015-12-31,29.03,$0.99,29.32
2015-09-30,26.6,$0.96,27.71
2015-06-30,27.72,$0.91,30.46
2015-03-31,28.23,$0.96,29.41
2014-12-31,27.73,$0.77,36.01
2014-09-30,23.34,$0.63,37.05
