LG Display PE Ratio Historical Data,LG Display PE Ratio Historical Data,LG Display PE Ratio Historical Data,LG Display PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.86,,0.0
2024-06-30,4.12,$-2.26,0.0
2024-03-31,4.1,$-2.43,0.0
2023-12-31,4.82,$-2.95,0.0
2023-09-30,4.88,$-4.93,0.0
2023-06-30,6.06,$-4.98,0.0
2023-03-31,6.38,$-4.57,0.0
2022-12-31,4.96,$-3.28,0.0
2022-09-30,4.08,$-1.07,0.0
2022-06-30,5.58,$0.31,18.0
2022-03-31,8.26,$1.34,6.16
2021-12-31,10.1,$1.67,6.05
2021-09-30,7.75,$2.09,3.71
2021-06-30,10.42,$1.56,6.68
2021-03-31,9.74,$0.45,21.64
2020-12-31,8.23,$-0.06,0.0
2020-09-30,6.36,$-2.91,0.0
2020-06-30,4.71,$-3.46,0.0
2020-03-31,4.33,$-3.54,0.0
2019-12-31,6.76,$-3.40,0.0
2019-09-30,5.8,$-1.07,0.0
2019-06-30,7.55,$-0.55,0.0
2019-03-31,8.43,$-0.28,0.0
2018-12-31,7.98,$-0.28,0.0
2018-09-30,8.45,$-0.42,0.0
2018-06-30,8.03,$0.17,47.24
2018-03-31,11.79,$1.43,8.25
2017-12-31,13.41,$2.28,5.88
2017-09-30,12.86,$3.27,3.93
2017-06-30,15.4,$2.90,5.31
2017-03-31,13.05,$2.03,6.43
2016-12-31,12.31,$1.26,9.77
2016-09-30,11.99,$0.20,59.94
2016-06-30,10.92,$0.23,47.49
2016-03-31,10.77,$0.65,16.57
2015-12-31,9.84,$1.23,8.0
2015-09-30,8.95,$1.78,5.03
2015-06-30,10.92,$2.00,5.46
2015-03-31,13.49,$1.93,6.99
2014-12-31,14.28,$1.25,11.42
2014-09-30,14.63,$0.81,18.06
2014-06-30,14.64,$0.65,22.53
2014-03-31,11.61,$0.43,26.99
2013-12-31,11.27,$0.54,20.88
2013-09-30,11.08,$0.84,13.19
2013-06-30,11.02,$0.73,15.1
2013-03-31,13.55,$0.46,29.45
2012-12-31,13.45,$0.29,46.37
2012-09-30,11.67,$-0.11,0.0
2012-06-30,8.78,$-1.20,0.0
2012-03-31,10.93,$-1.03,0.0
2011-12-31,9.78,$-1.01,0.0
2011-09-30,7.57,$-1.33,0.0
2011-06-30,13.05,$-0.18,0.0
2011-03-31,14.61,$0.49,29.81
2010-12-31,16.48,$1.43,11.53
2010-09-30,16.05,$2.31,6.95
2010-06-30,14.81,$2.68,5.53
2010-03-31,16.27,$2.29,7.1
2009-12-31,15.58,$1.25,12.46
