Mitsubishi UFJ Financial PE Ratio Historical Data,Mitsubishi UFJ Financial PE Ratio Historical Data,Mitsubishi UFJ Financial PE Ratio Historical Data,Mitsubishi UFJ Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.84,,11.06
2024-06-30,10.8,$0.98,11.02
2023-06-30,7.17,$0.81,8.85
2022-06-30,4.97,$0.75,6.63
2021-06-30,4.89,$0.90,5.43
2020-06-30,3.37,$0.82,4.11
2019-06-30,3.87,$0.82,4.72
2018-06-30,4.52,$0.70,6.45
2017-06-30,5.33,$0.65,8.2
2016-06-30,3.4,$0.64,5.31
2015-06-30,5.38,$0.78,6.89
2014-06-30,4.58,$0.83,5.52
2013-06-30,4.58,$0.75,6.11
2013-03-31,4.43,$0.74,5.98
2012-12-31,3.95,$0.61,6.48
2012-09-30,3.39,$0.51,6.65
2012-06-30,3.41,$0.59,5.78
2012-03-31,3.58,$0.84,4.26
2011-12-31,2.97,$0.70,4.24
2011-09-30,3.15,$0.74,4.26
2011-06-30,3.37,$0.70,4.81
2011-03-31,3.21,$0.41,7.83
2010-09-30,3.19,$0.48,6.65
2010-06-30,3.1,$0.38,8.15
2010-03-31,3.55,$0.32,11.1
2009-12-31,3.3,$-0.03,0.0
2009-09-30,3.58,$0.07,51.19
2009-06-30,4.07,$0.02,203.67
