Planet Fitness PE Ratio Historical Data,Planet Fitness PE Ratio Historical Data,Planet Fitness PE Ratio Historical Data,Planet Fitness PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,78.75,,43.27
2024-06-30,73.59,$1.82,40.43
2024-03-31,62.63,$1.74,35.99
2023-12-31,73.0,$1.62,45.06
2023-09-30,49.18,$1.61,30.55
2023-06-30,67.44,$1.47,45.88
2023-03-31,77.67,$1.25,62.14
2022-12-31,78.8,$1.17,67.35
2022-09-30,57.66,$0.84,68.64
2022-06-30,68.01,$0.73,93.16
2022-03-31,84.48,$0.64,132.0
2021-12-31,90.58,$0.52,174.19
2021-09-30,78.55,$0.56,140.27
2021-06-30,75.25,$0.31,242.74
2021-03-31,77.3,$-0.22,0.0
2020-12-31,77.63,$-0.18,0.0
2020-09-30,61.62,$0.07,880.29
2020-06-30,60.57,$0.42,144.21
2020-03-31,48.7,$1.19,40.92
2019-12-31,74.68,$1.40,53.34
2019-09-30,57.87,$1.33,43.51
2019-06-30,72.44,$1.22,59.38
2019-03-31,68.72,$1.10,62.47
2018-12-31,53.62,$1.01,53.09
2018-09-30,54.03,$0.68,79.46
2018-06-30,43.94,$0.66,66.58
2018-03-31,37.77,$0.53,71.26
2017-12-31,34.63,$0.44,78.7
2017-09-30,26.98,$0.66,40.88
2017-06-30,23.34,$0.56,41.68
2017-03-31,19.27,$0.51,37.78
2016-12-31,20.1,$0.46,43.7
2016-09-30,17.62,$0.34,51.83
2016-06-30,16.58,$0.30,55.26
