Valvoline PE Ratio Historical Data,Valvoline PE Ratio Historical Data,Valvoline PE Ratio Historical Data,Valvoline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.05,,34.19
2024-06-30,43.2,$1.23,35.12
2024-03-31,44.57,$1.26,35.37
2023-12-31,37.58,$8.05,4.67
2023-09-30,32.24,$8.27,3.9
2023-06-30,37.51,$8.83,4.25
2023-03-31,34.94,$9.00,3.88
2022-12-31,32.65,$2.34,13.95
2022-09-30,25.24,$2.36,10.7
2022-06-30,28.6,$2.40,11.92
2022-03-31,31.19,$2.38,13.1
2021-12-31,36.71,$2.30,15.96
2021-09-30,30.59,$2.29,13.36
2021-06-30,31.72,$2.03,15.62
2021-03-31,25.38,$1.82,13.94
2020-12-31,22.41,$1.78,12.59
2020-09-30,18.34,$1.70,10.79
2020-06-30,18.52,$1.18,15.7
2020-03-31,12.47,$1.20,10.39
2019-12-31,20.27,$1.20,16.89
2019-09-30,20.76,$1.09,19.04
2019-06-30,18.31,$1.18,15.52
2019-03-31,17.3,$1.17,14.79
2018-12-31,17.94,$1.17,15.33
2018-09-30,19.94,$0.84,23.74
2018-06-30,19.93,$1.13,17.63
2018-03-31,20.37,$1.07,19.04
2017-12-31,22.99,$1.09,21.09
2017-09-30,21.45,$1.49,14.39
2017-06-30,21.65,$1.29,16.78
