NNN REIT PE Ratio Historical Data,NNN REIT PE Ratio Historical Data,NNN REIT PE Ratio Historical Data,NNN REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.75,,21.96
2024-06-30,42.06,$2.22,18.94
2024-03-31,41.62,$2.18,19.09
2023-12-31,41.39,$2.16,19.16
2023-09-30,33.41,$2.13,15.68
2023-06-30,39.92,$2.04,19.57
2023-03-31,40.67,$1.92,21.18
2022-12-31,41.66,$1.79,23.27
2022-09-30,35.82,$1.74,20.59
2022-06-30,38.2,$1.63,23.43
2021-12-31,41.7,$1.51,27.62
2021-09-30,37.04,$1.47,25.2
2021-06-30,39.77,$1.48,26.87
2021-03-31,36.98,$1.39,26.6
2020-12-31,33.89,$1.33,25.48
2022-03-31,39.46,$1.35,29.23
2020-09-30,28.14,$1.23,22.87
2020-06-30,28.51,$1.28,22.27
2020-03-31,25.46,$1.22,20.87
2019-12-31,42.03,$1.34,31.36
2019-09-30,43.82,$1.40,31.3
2018-12-31,36.62,$1.67,21.93
2018-09-30,33.48,$1.91,17.53
2018-06-30,32.47,$1.87,17.36
2018-03-31,28.64,$1.82,15.74
2017-12-31,31.09,$1.53,20.32
2019-06-30,40.79,$1.46,27.94
2017-09-30,29.68,$1.40,21.2
2017-06-30,27.53,$1.33,20.7
2017-03-31,30.4,$1.44,21.11
2016-12-31,30.48,$1.39,21.93
2016-09-30,34.71,$1.46,23.78
2019-03-31,42.21,$1.42,29.73
2016-06-30,35.0,$1.32,26.51
2016-03-31,30.96,$1.30,23.81
2015-12-31,26.56,$1.20,22.13
2015-09-30,23.79,$1.31,18.16
2015-06-30,22.69,$1.28,17.73
2015-03-31,26.28,$1.30,20.21
2014-12-31,25.01,$1.24,20.17
2014-09-30,21.71,$1.18,18.4
2014-06-30,23.09,$1.16,19.91
2014-03-31,21.06,$1.13,18.64
2013-12-31,18.39,$1.10,16.72
2013-09-30,19.07,$1.13,16.87
2013-06-30,20.38,$1.14,17.88
2013-03-31,21.22,$1.13,18.78
2012-12-31,18.08,$1.11,16.29
2012-09-30,17.46,$1.05,16.63
2012-06-30,15.98,$0.99,16.14
2012-03-31,15.14,$0.96,15.77
2011-12-31,14.49,$0.96,15.09
2011-09-30,14.55,$0.85,17.12
2011-06-30,13.07,$0.84,15.56
2011-03-31,13.73,$0.84,16.35
2010-12-31,13.72,$0.79,17.37
2010-09-30,12.82,$0.36,35.61
2010-06-30,10.77,$0.39,27.62
2010-03-31,11.29,$0.48,23.52
2009-12-31,10.31,$0.62,16.62
