Carlyle Group PE Ratio Historical Data,Carlyle Group PE Ratio Historical Data,Carlyle Group PE Ratio Historical Data,Carlyle Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.34,,0.0
2024-06-30,40.15,$-1.12,0.0
2024-03-31,46.91,$-1.79,0.0
2023-12-31,40.69,$-1.69,0.0
2023-09-30,30.16,$0.58,52.0
2023-06-30,31.95,$1.13,28.27
2023-03-31,31.06,$2.07,15.0
2022-12-31,29.84,$3.36,8.88
2022-09-30,25.84,$4.78,5.41
2022-06-30,31.37,$5.47,5.74
2022-03-31,48.02,$7.35,6.53
2021-12-31,53.62,$8.19,6.55
2021-09-30,45.98,$7.86,5.85
2021-06-30,44.97,$7.22,6.23
2021-03-31,35.36,$5.08,6.96
2020-12-31,30.04,$0.91,33.01
2020-09-30,23.36,$-0.61,0.0
2020-06-30,26.18,$-0.88,0.0
2020-03-31,20.11,$-0.06,0.0
2019-12-31,29.57,$2.88,10.27
2019-09-30,23.3,$2.81,8.29
2019-06-30,20.22,$2.36,8.57
2019-03-31,16.2,$1.69,9.59
2018-12-31,13.64,$1.00,13.64
2018-09-30,19.13,$1.58,12.11
2018-06-30,17.9,$2.07,8.65
2017-12-31,18.74,$2.41,7.78
2017-09-30,18.82,$1.76,10.7
2017-06-30,15.44,$1.63,9.47
2017-03-31,12.4,$1.02,12.15
2016-12-31,11.74,$0.19,61.77
2018-03-31,17.72,$0.36,49.22
2016-09-30,11.59,$0.02,579.64
2016-06-30,11.63,$-1.07,0.0
2016-03-31,11.9,$-0.80,0.0
2015-12-31,10.8,$-0.27,0.0
2015-09-30,11.26,0,0.0
2015-06-30,18.19,$1.46,12.46
2015-03-31,17.32,$1.39,12.46
2014-12-31,16.58,$1.26,13.16
2014-09-30,18.27,$2.20,8.3
2014-06-30,20.26,$1.89,10.72
2014-03-31,20.86,$1.55,13.45
2013-12-31,20.35,$1.80,11.31
2013-09-30,14.62,$0.88,16.61
2013-06-30,14.48,$1.24,11.68
2013-03-31,17.0,$0.92,18.48
