Trip Group PE Ratio Historical Data,Trip Group PE Ratio Historical Data,Trip Group PE Ratio Historical Data,Trip Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,58.0,,20.28
2024-06-30,47.0,$2.86,16.43
2024-03-31,43.89,$2.22,19.77
2023-12-31,36.01,$2.07,17.4
2023-09-30,34.97,$2.25,15.54
2023-06-30,35.0,$1.37,25.55
2023-03-31,37.67,$1.25,30.14
2022-12-31,34.4,$0.28,122.86
2022-09-30,27.31,$-0.37,0.0
2022-06-30,27.45,$-0.63,0.0
2022-03-31,23.12,$-0.80,0.0
2021-12-31,24.62,$-0.12,0.0
2021-09-30,30.75,$0.33,93.18
2021-06-30,35.46,$0.91,38.97
2021-03-31,39.63,$0.96,41.28
2020-12-31,33.73,$-0.75,0.0
2020-09-30,31.14,$-0.54,0.0
2020-06-30,25.92,$-0.73,0.0
2020-03-31,23.45,$-0.73,0.0
2019-12-31,33.54,$1.65,20.33
2019-09-30,29.29,$0.87,33.67
2019-06-30,36.91,$0.38,97.13
2019-03-31,43.69,$1.08,40.45
2018-12-31,27.06,$0.11,246.0
2018-09-30,37.17,$0.75,49.56
2018-06-30,47.63,$1.14,41.78
2017-12-31,44.1,$0.57,77.37
2017-09-30,52.74,$0.44,119.86
2017-06-30,53.86,$-0.05,0.0
2017-03-31,49.15,$-0.68,0.0
2016-09-30,46.57,$-0.67,0.0
2016-06-30,41.2,$-0.39,0.0
2016-03-31,44.26,$0.83,53.33
2015-12-31,46.33,$1.45,31.95
2018-03-31,46.62,$1.34,34.79
2015-09-30,31.59,$0.92,34.34
2015-06-30,36.31,$-0.02,0.0
2015-03-31,29.31,$-0.03,0.0
2014-12-31,22.75,$0.11,206.82
2014-09-30,28.38,$0.38,74.68
2014-06-30,32.02,$0.47,68.13
2014-03-31,25.21,$0.52,48.48
2013-12-31,24.81,$0.55,45.11
2013-09-30,29.18,$0.52,56.12
2013-06-30,16.32,$0.43,37.94
2013-03-31,10.69,$0.38,28.51
2012-12-31,11.33,$0.38,30.21
2012-09-30,8.44,$0.40,21.1
2012-06-30,8.38,$0.46,18.42
2012-03-31,10.82,$0.51,21.22
2011-12-31,11.7,$0.57,20.53
2011-09-30,16.08,$0.60,27.02
2011-03-31,20.75,$0.55,37.72
2010-12-31,20.23,$0.53,38.52
2010-09-30,23.88,$0.48,50.26
2010-06-30,18.78,$0.41,45.53
2010-03-31,19.6,$0.38,51.58
2009-12-31,17.97,$0.35,51.33
2009-09-30,14.7,$0.39,38.18
