Commercial Metals PE Ratio Historical Data,Commercial Metals PE Ratio Historical Data,Commercial Metals PE Ratio Historical Data,Commercial Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.41,,17.41
2024-08-31,53.59,$3.24,16.54
2024-05-31,56.13,$4.80,11.69
2024-02-29,53.65,$5.76,9.32
2023-11-30,44.9,$6.54,6.86
2023-08-31,55.54,$7.25,7.66
2023-05-31,42.05,$8.09,5.2
2023-02-28,50.74,$8.65,5.87
2022-11-30,48.11,$10.26,4.69
2022-08-31,39.46,$9.96,3.96
2022-05-31,38.54,$8.80,4.38
2022-02-28,37.27,$7.33,5.09
2021-11-30,29.76,$4.76,6.25
2021-08-31,31.28,$3.39,9.23
2021-05-31,30.06,$2.71,11.09
2021-02-28,23.93,$2.18,10.98
2020-11-30,18.84,$2.16,8.72
2020-08-31,19.63,$2.33,8.42
2020-05-31,16.04,$2.49,6.44
2020-02-29,16.93,$2.61,6.49
2019-11-30,19.7,$2.20,8.95
2019-08-31,14.37,$1.67,8.6
2019-05-31,12.16,$1.39,8.75
2019-02-28,14.97,$1.07,13.99
2018-11-30,17.3,$1.04,16.63
2018-08-31,19.28,$1.18,16.34
2018-05-31,20.98,$0.49,42.82
2018-02-28,21.43,$0.49,43.74
2017-11-30,17.42,$0.66,26.39
2017-08-31,16.48,$0.40,41.2
2017-05-31,15.69,$0.65,24.15
2017-02-28,18.21,$0.48,37.93
2016-11-30,18.85,$0.31,60.82
2016-08-31,13.2,$0.47,28.09
2016-05-31,14.5,$0.42,34.52
2016-02-29,12.32,$0.74,16.64
2015-11-30,12.29,$1.11,11.07
2015-08-31,12.94,$1.20,10.78
2015-05-31,13.14,$1.54,8.54
2015-02-28,12.22,$1.25,9.78
2014-11-30,13.15,$0.88,14.94
2014-08-31,13.8,$0.97,14.23
2014-05-31,14.08,$0.71,19.83
2014-02-28,15.25,$0.67,22.77
2013-11-30,15.22,$0.62,24.55
2013-08-31,11.59,$0.65,17.83
2013-05-31,11.91,$0.88,13.53
2013-02-28,12.49,$1.07,11.67
2012-11-30,10.3,$1.28,8.04
2012-08-31,9.6,$1.79,5.36
2012-05-31,8.72,$0.49,17.8
2012-02-29,9.84,$0.45,21.87
2011-11-30,10.26,$-0.20,0.0
2011-08-31,8.53,$-1.12,0.0
2011-05-31,10.72,$-0.01,0.0
2011-02-28,11.92,$-0.40,0.0
2010-11-30,10.91,$-1.53,0.0
2010-08-31,9.17,$-1.82,0.0
2010-05-31,10.86,$-1.83,0.0
2010-02-28,11.35,$-1.87,0.0
2009-11-30,10.92,$-0.66,0.0
