ASGN PE Ratio Historical Data,ASGN PE Ratio Historical Data,ASGN PE Ratio Historical Data,ASGN PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,98.71,,23.96
2024-06-30,88.17,$4.12,21.4
2024-03-31,104.76,$4.32,24.25
2023-12-31,96.17,$4.50,21.37
2023-09-30,81.68,$4.54,17.99
2023-06-30,75.63,$4.75,15.92
2023-03-31,82.67,$4.94,16.73
2022-12-31,81.48,$5.23,15.58
2022-09-30,90.37,$5.74,15.74
2022-06-30,90.25,$8.27,10.91
2022-03-31,116.71,$8.05,14.5
2021-12-31,123.4,$7.68,16.07
2021-09-30,113.14,$7.11,15.91
2021-06-30,96.93,$4.13,23.47
2021-03-31,95.44,$3.86,24.73
2020-12-31,83.53,$3.77,22.16
2020-09-30,63.56,$3.47,18.32
2020-06-30,66.68,$3.56,18.73
2020-03-31,35.32,$3.45,10.24
2019-12-31,70.97,$3.29,21.57
2019-09-30,62.86,$3.41,18.43
2019-06-30,60.6,$3.26,18.59
2019-03-31,63.49,$3.08,20.61
2018-12-31,54.5,$2.97,18.35
2018-09-30,78.93,$3.39,23.28
2018-06-30,78.19,$3.12,25.06
2018-03-31,81.88,$3.11,26.33
2017-12-31,64.27,$2.98,21.57
2017-09-30,53.68,$2.15,24.97
2017-06-30,54.15,$2.04,26.54
2017-03-31,48.53,$1.90,25.54
2016-12-31,44.16,$1.84,24.0
2016-09-30,36.29,$1.86,19.51
2016-06-30,36.95,$1.58,23.39
2015-12-31,44.95,$1.85,24.3
2015-09-30,36.9,$1.88,19.63
2015-06-30,39.28,$1.82,21.58
2015-03-31,38.37,$1.93,19.88
2014-12-31,33.19,$1.43,23.21
2014-09-30,26.85,$1.63,16.47
2014-06-30,35.57,$1.59,22.37
2014-03-31,38.59,$1.35,28.59
2013-12-31,34.92,$1.56,22.38
2013-09-30,33.0,$1.29,25.58
2013-06-30,26.72,$1.13,23.65
2013-03-31,25.31,$1.32,19.17
2016-03-31,36.92,$1.05,35.16
2012-12-31,20.28,$0.87,23.31
2012-09-30,19.92,$0.86,23.16
2012-06-30,15.96,$0.74,21.57
2012-03-31,17.47,$0.71,24.61
2011-12-31,11.18,$0.65,17.2
2011-09-30,7.07,$0.07,101.0
2011-06-30,9.83,$-0.05,0.0
2011-03-31,9.46,$-0.18,0.0
2010-12-31,8.15,$-0.27,0.0
2010-09-30,5.25,$0.14,37.5
2010-06-30,5.03,$0.09,55.89
2010-03-31,7.13,$0.08,89.13
2009-12-31,7.15,$0.14,51.07
