Tempur Sealy PE Ratio Historical Data,Tempur Sealy PE Ratio Historical Data,Tempur Sealy PE Ratio Historical Data,Tempur Sealy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.42,,24.01
2024-06-30,47.22,$2.10,22.49
2024-03-31,56.54,$2.02,27.99
2023-12-31,50.59,$2.07,24.44
2023-09-30,42.9,$2.21,19.41
2023-06-30,39.56,$2.32,17.05
2023-03-31,38.88,$2.31,16.83
2022-12-31,33.71,$2.52,13.38
2022-09-30,23.63,$2.83,8.35
2022-06-30,20.84,$2.95,7.07
2022-03-31,27.12,$3.13,8.66
2021-12-31,45.53,$3.11,14.64
2021-09-30,44.84,$2.80,16.0
2021-06-30,37.78,$2.04,18.5
2020-12-31,25.93,$1.63,15.91
2020-09-30,21.41,$1.17,18.3
2020-06-30,17.27,$1.22,14.19
2020-03-31,10.49,$1.44,7.31
2019-12-31,20.9,$1.34,15.57
2021-03-31,35.18,$1.26,27.92
2019-09-30,18.53,$0.70,26.67
2019-06-30,17.61,$0.56,31.45
2019-03-31,13.84,$0.48,28.84
2018-12-31,9.94,$0.46,21.72
2018-09-30,12.7,$0.63,20.16
2018-06-30,11.53,$0.64,18.02
2018-03-31,10.87,$0.65,16.79
2017-12-31,15.05,$0.70,21.58
2017-09-30,15.49,$0.75,20.65
2017-06-30,12.82,$0.88,14.61
2017-03-31,11.15,$0.85,13.08
2016-12-31,16.39,$0.86,19.17
2016-09-30,13.62,$0.53,25.7
2016-06-30,13.28,$0.36,36.89
2016-03-31,14.59,$0.36,40.82
2015-12-31,16.91,$0.30,57.34
2015-09-30,17.15,$0.53,32.51
2015-06-30,15.82,$0.52,30.57
2015-03-31,13.86,$0.42,32.81
2014-12-31,13.18,$0.44,30.13
2014-09-30,13.48,$0.34,39.37
2014-06-30,14.33,$0.36,40.37
2014-03-31,12.16,$0.36,34.02
2013-12-31,12.95,$0.30,43.54
2013-09-30,10.55,$0.30,34.89
2013-06-30,10.54,$0.13,79.54
2013-03-31,11.91,$0.25,47.18
2012-12-31,7.56,$0.42,18.11
2012-09-30,7.18,$0.53,13.54
2012-06-30,5.62,$0.76,7.36
2012-03-31,20.27,$0.84,24.13
2011-12-31,12.61,$0.80,15.86
2011-09-30,12.63,$0.75,16.84
2011-06-30,16.28,$0.68,23.94
2011-03-31,12.16,$0.61,20.1
2010-12-31,9.62,$0.55,17.65
2010-09-30,7.44,$0.48,15.67
2010-06-30,7.38,$0.38,19.69
2010-03-31,7.24,$0.31,23.74
2009-12-31,5.67,$0.28,20.26
