Schneider National PE Ratio Historical Data,Schneider National PE Ratio Historical Data,Schneider National PE Ratio Historical Data,Schneider National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.25,,43.46
2024-06-30,24.08,$0.65,37.04
2024-03-31,22.56,$0.88,25.64
2023-12-31,25.26,$1.33,18.99
2023-09-30,27.38,$1.80,15.21
2023-06-30,28.31,$2.30,12.31
2023-03-31,26.28,$2.39,10.99
2022-12-31,22.91,$2.59,8.85
2022-09-30,19.81,$2.59,7.65
2022-03-31,24.71,$2.49,9.93
2021-12-31,26.0,$2.28,11.4
2021-09-30,21.91,$1.96,11.18
2021-06-30,20.91,$2.07,10.1
2021-03-31,23.91,$1.72,13.9
2020-12-31,19.77,$1.67,11.84
2022-06-30,21.76,$1.49,14.61
2020-09-30,21.49,$1.08,19.9
2020-06-30,21.39,$0.94,22.75
2020-03-31,16.72,$0.87,19.22
2019-12-31,18.79,$0.83,22.64
2019-09-30,18.65,$0.99,18.84
2019-06-30,15.62,$1.28,12.21
2019-03-31,17.97,$1.46,12.31
2018-12-31,15.9,$1.52,10.46
2018-09-30,21.21,$2.64,8.03
2018-06-30,23.3,$2.45,9.51
2018-03-31,22.03,$2.35,9.37
