Woori Bank PE Ratio Historical Data,Woori Bank PE Ratio Historical Data,Woori Bank PE Ratio Historical Data,Woori Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.2,,4.64
2024-06-30,32.04,$7.80,4.11
2024-03-31,32.43,$7.13,4.55
2023-12-31,30.22,$7.46,4.05
2023-09-30,27.42,$8.86,3.09
2023-06-30,26.95,$8.71,3.09
2023-03-31,26.29,$9.82,2.68
2022-12-31,27.53,$9.77,2.82
2022-09-30,22.32,$9.60,2.33
2022-06-30,28.28,$9.79,2.89
2022-03-31,37.66,$9.57,3.94
2021-12-31,32.13,$9.19,3.5
2021-09-30,27.62,$8.47,3.26
2021-06-30,28.64,$7.38,3.88
2021-03-31,25.64,$5.06,5.07
2020-12-31,25.9,$4.32,6.0
2020-09-30,20.3,$3.75,5.41
2020-06-30,20.39,$3.91,5.21
2020-03-31,17.27,$5.79,2.98
2019-12-31,27.83,$6.38,4.36
2019-09-30,27.38,$6.75,4.06
2019-06-30,32.22,$7.21,4.47
2019-03-31,31.53,$7.71,4.09
2018-12-31,36.95,$7.54,4.9
2018-09-30,38.46,$7.55,5.09
2018-06-30,37.31,$6.25,5.97
2018-03-31,35.1,$5.12,6.86
2017-12-31,37.92,$5.28,7.18
2017-09-30,38.35,$5.29,7.25
2017-06-30,40.06,$5.57,7.19
2017-03-31,28.76,$4.81,5.98
2016-12-31,26.18,$3.94,6.64
2016-09-30,24.94,$4.23,5.89
2016-06-30,19.69,$4.08,4.83
2016-03-31,19.77,$3.91,5.06
2015-12-31,17.92,$3.52,5.09
2015-09-30,18.71,$2.84,6.59
2015-06-30,20.89,$2.69,7.77
2015-03-31,19.82,$5.44,3.64
2014-12-31,21.11,$5.69,3.71
2014-09-30,28.7,$5.69,5.04
2014-06-30,27.24,$4.95,5.5
2014-03-31,26.84,$2.01,13.35
2013-12-31,29.69,$1.62,18.31
2013-09-30,26.64,$2.16,12.35
2013-06-30,21.44,$3.92,5.47
2013-03-31,26.31,$4.46,5.9
2012-12-31,25.83,$6.11,4.22
2012-09-30,22.42,$7.01,3.2
2012-06-30,25.24,$6.88,3.67
2012-03-31,26.2,$9.03,2.9
2011-12-31,18.53,$8.52,2.17
2011-09-30,18.84,$7.69,2.45
2011-06-30,29.52,$7.83,3.77
2011-03-31,29.35,$4.42,6.64
2010-12-31,30.89,$4.66,6.63
2010-09-30,27.26,$4.66,5.85
2010-06-30,25.7,$4.52,5.69
2010-03-31,32.22,$4.67,6.9
2009-12-31,26.39,$2.42,10.91
