DICK'S Sporting Goods PE Ratio Historical Data,DICK'S Sporting Goods PE Ratio Historical Data,DICK'S Sporting Goods PE Ratio Historical Data,DICK'S Sporting Goods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,215.04,,15.78
2024-07-31,215.24,$13.63,15.79
2024-04-30,198.89,$12.08,16.46
2024-01-31,146.83,$12.18,12.05
2023-10-31,104.62,$11.21,9.33
2023-07-31,136.73,$11.27,12.13
2023-04-30,139.59,$11.70,11.93
2023-01-31,125.02,$10.77,11.61
2022-10-31,108.33,$11.33,9.56
2022-07-31,88.74,$11.66,7.61
2022-04-30,90.87,$12.94,7.02
2022-01-31,108.29,$13.88,7.8
2021-10-31,116.1,$12.93,8.98
2021-07-31,93.16,$11.99,7.77
2021-04-30,73.6,$10.58,6.96
2021-01-31,59.44,$7.98,7.45
2020-10-31,49.97,$6.43,7.77
2020-07-31,40.01,$5.85,6.84
2020-01-31,37.85,$3.34,11.33
2019-10-31,33.13,$3.60,9.2
2019-07-31,31.41,$1.23,25.54
2019-04-30,31.01,$0.36,86.14
2019-01-31,29.36,$0.95,30.91
2020-04-30,25.58,$0.47,54.42
2018-10-31,29.22,$3.29,8.88
2018-07-31,28.03,$3.25,8.63
2018-04-30,27.01,$3.08,8.77
2018-01-31,25.5,$3.01,8.47
2017-10-31,19.72,$2.71,7.28
2017-07-31,29.9,$2.80,10.68
2017-04-30,40.31,$2.59,15.56
2017-01-31,41.0,$2.57,15.95
2016-10-31,44.11,$2.89,15.26
2016-07-31,40.55,$2.86,14.18
2016-04-30,36.51,$2.81,12.99
2016-01-31,30.69,$2.84,10.81
2015-10-31,34.86,$3.01,11.58
2015-07-31,39.78,$3.01,13.22
2015-04-30,42.23,$2.81,15.03
2015-01-31,40.1,$2.85,14.07
2014-10-31,35.13,$2.66,13.21
2014-07-31,32.84,$2.65,12.39
2014-04-30,40.55,$2.75,14.75
2014-01-31,40.34,$2.70,14.94
2013-10-31,40.78,$2.62,15.57
2013-07-31,39.3,$2.62,15.0
2013-04-30,36.67,$2.38,15.41
2013-01-31,36.1,$2.31,15.63
2012-10-31,36.24,$2.16,16.78
2012-07-31,35.51,$2.09,16.99
2012-04-30,36.47,$2.25,16.21
2012-01-31,29.62,$2.10,14.1
2011-10-31,27.75,$1.93,14.38
2011-07-31,26.27,$1.74,15.1
2011-04-30,29.06,$1.58,18.39
2011-01-31,25.62,$1.50,17.08
2010-10-31,20.46,$1.35,15.15
2010-07-31,18.68,$1.37,13.63
2010-04-30,20.66,$1.27,16.27
2010-01-31,15.88,$1.14,13.93
2009-10-31,16.11,$-0.35,0.0
