Energy Transfer LP PE Ratio Historical Data,Energy Transfer LP PE Ratio Historical Data,Energy Transfer LP PE Ratio Historical Data,Energy Transfer LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.49,,13.86
2024-06-30,15.9,$1.19,13.36
2024-03-31,15.11,$1.16,13.03
2023-12-31,12.97,$1.18,10.99
2023-09-30,12.88,$1.10,11.71
2023-03-31,10.9,$1.34,8.14
2022-12-31,10.14,$1.39,7.29
2022-09-30,9.22,$1.34,6.88
2022-06-30,8.17,$1.25,6.54
2022-03-31,9.01,$1.06,8.5
2021-12-31,6.51,$1.90,3.43
2021-09-30,7.45,$1.80,4.14
2021-06-30,8.13,$1.85,4.4
2021-03-31,5.79,$1.36,4.25
2020-12-31,4.55,$0.28,16.26
2023-06-30,11.38,$-0.23,0.0
2020-09-30,3.88,$-0.10,0.0
2020-06-30,4.88,$0.51,9.56
2020-03-31,3.03,$0.71,4.27
2019-12-31,8.25,$1.29,6.39
2019-09-30,8.21,$1.23,6.68
2019-03-31,9.25,$1.22,7.58
2018-12-31,7.78,$1.20,6.49
2018-09-30,10.08,$1.16,8.69
2018-06-30,9.81,$1.06,9.26
2018-03-31,7.94,$0.93,8.53
2017-12-31,9.47,$0.83,11.41
2017-09-30,9.38,$0.82,11.44
2017-06-30,9.54,$0.93,10.26
2017-03-31,10.31,$0.94,10.97
2016-12-31,9.95,$0.96,10.36
2019-06-30,8.64,$1.05,8.23
2016-09-30,8.48,$1.02,8.31
2016-06-30,7.13,$1.11,6.42
2016-03-31,3.46,$1.16,2.98
2015-12-31,6.43,$1.12,5.74
2015-09-30,9.61,$0.93,10.39
2015-06-30,14.68,$0.82,17.9
2015-03-31,14.39,$0.69,20.85
2014-12-31,12.92,$0.58,22.28
2014-09-30,13.8,$0.32,43.11
2014-06-30,13.09,$0.28,46.75
2014-03-31,10.3,$0.24,42.49
2013-12-31,8.93,$0.17,51.77
2013-09-30,7.12,$0.37,19.23
2013-06-30,6.41,$0.27,23.95
2013-03-31,6.19,$0.20,30.59
2012-12-31,4.76,$0.31,15.6
2012-09-30,4.66,$0.36,13.04
2012-06-30,4.17,$0.40,10.36
2012-03-31,4.03,$0.43,9.38
2011-12-31,4.0,$0.35,11.52
2011-09-30,3.37,$0.34,9.99
2011-06-30,4.29,$0.24,17.71
2011-03-31,4.24,$0.19,22.34
2010-12-31,3.63,$0.22,16.9
2010-09-30,3.41,$0.29,11.95
2010-06-30,3.05,$0.36,8.6
2010-03-31,3.0,$0.45,6.67
2009-12-31,2.67,$0.50,5.4
