Hancock Whitney PE Ratio Historical Data,Hancock Whitney PE Ratio Historical Data,Hancock Whitney PE Ratio Historical Data,Hancock Whitney PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.47,,17.08
2024-09-30,51.17,$3.13,16.35
2024-06-30,47.46,$4.25,11.17
2024-03-31,45.28,$4.29,10.56
2023-12-31,47.46,$4.50,10.55
2023-09-30,35.88,$5.57,6.44
2023-06-30,36.97,$6.00,6.16
2023-03-31,34.8,$6.03,5.77
2022-12-31,45.99,$5.98,7.69
2022-09-30,43.32,$5.88,7.37
2022-06-30,41.68,$5.79,7.2
2022-03-31,48.77,$5.41,9.02
2021-12-31,46.55,$5.22,8.92
2021-09-30,43.61,$4.84,9.01
2021-06-30,40.88,$4.28,9.55
2021-03-31,38.44,$1.92,20.02
2020-12-31,30.92,$-0.57,0.0
2020-09-30,16.94,$-0.71,0.0
2020-06-30,18.85,$-0.84,0.0
2020-03-31,17.17,$1.53,11.22
2019-12-31,38.29,$3.72,10.29
2019-09-30,33.2,$3.79,8.76
2019-06-30,34.46,$3.98,8.66
2019-03-31,34.51,$3.79,9.11
2018-12-31,29.42,$3.52,8.36
2018-09-30,40.09,$3.10,12.93
2018-06-30,39.13,$2.74,14.28
2017-12-31,41.14,$2.49,16.52
2017-09-30,40.08,$2.49,16.09
2017-06-30,40.31,$2.64,15.27
2017-03-31,37.28,$2.63,14.18
2016-12-31,35.1,$2.65,13.24
2018-03-31,43.16,$2.06,20.95
2016-09-30,26.26,$1.42,18.49
2016-06-30,20.98,$1.35,15.54
2016-03-31,18.29,$1.20,15.24
2015-12-31,19.86,$1.64,12.11
2015-09-30,21.16,$1.93,10.96
2015-06-30,24.74,$1.97,12.56
2015-03-31,22.97,$2.01,11.43
2014-12-31,23.42,$2.10,11.15
2014-09-30,24.27,$2.04,11.9
2014-06-30,26.56,$1.88,14.13
2014-03-31,27.36,$1.95,14.03
2013-12-31,27.2,$1.94,14.02
2013-09-30,23.1,$2.06,11.22
2013-06-30,21.97,$2.21,9.94
2013-03-31,22.4,$2.12,10.57
2012-12-31,22.81,$1.76,12.96
2012-09-30,22.1,$1.44,15.35
2012-06-30,21.54,$1.25,17.23
2012-03-31,24.92,$1.01,24.67
2011-12-31,22.28,$1.21,18.41
2011-09-30,18.53,$1.45,12.78
2011-06-30,21.24,$1.49,14.26
2011-03-31,22.35,$1.45,15.41
2010-12-31,23.55,$1.41,16.7
2010-09-30,20.17,$1.84,10.96
2010-06-30,22.19,$1.91,11.62
2010-03-31,27.63,$2.16,12.79
2009-12-31,28.78,$2.23,12.91
