Heico PE Ratio Historical Data,Heico PE Ratio Historical Data,Heico PE Ratio Historical Data,Heico PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,264.96,,79.57
2024-07-31,241.34,$3.33,72.47
2024-04-30,207.3,$3.12,66.44
2023-10-31,158.24,$2.91,54.38
2023-07-31,175.79,$2.87,61.25
2023-04-30,168.36,$2.95,57.07
2023-01-31,170.67,$2.79,61.17
2022-10-31,162.27,$2.74,59.22
2024-01-31,179.5,$2.67,67.23
2022-07-31,157.35,$2.47,63.7
2022-04-30,140.81,$2.43,57.95
2022-01-31,135.98,$2.32,58.61
2021-10-31,138.89,$2.20,63.13
2021-07-31,134.76,$2.03,66.39
2021-04-30,140.2,$1.87,74.98
2021-01-31,117.24,$1.91,61.38
2020-10-31,104.54,$2.29,45.65
2020-07-31,95.66,$2.46,38.88
2020-04-30,87.11,$2.65,32.87
2020-01-31,121.74,$2.70,45.09
2019-10-31,122.56,$2.39,51.28
2019-07-31,135.89,$2.26,60.13
2019-04-30,104.81,$2.16,48.52
2019-01-31,83.92,$2.00,41.96
2018-10-31,83.18,$1.90,43.78
2018-07-31,75.78,$1.81,41.94
2018-04-30,69.68,$1.66,42.08
2018-01-31,63.71,$1.56,40.96
2017-10-31,57.54,$1.41,40.87
2017-07-31,51.0,$1.33,38.39
2017-04-30,45.05,$1.28,35.16
2016-10-31,34.22,$1.18,29.06
2016-07-31,35.21,$1.13,31.12
2016-04-30,31.02,$1.12,27.79
2016-01-31,28.18,$1.09,25.96
2015-10-31,25.48,$1.10,23.15
2017-01-31,39.02,$1.02,38.1
2015-07-31,27.7,$0.97,28.62
2015-04-30,28.17,$0.96,29.42
2015-01-31,30.62,$0.92,33.22
2014-10-31,27.33,$0.92,29.66
2014-07-31,24.77,$0.90,27.49
2014-04-30,27.85,$0.87,31.96
2014-01-31,26.79,$0.84,32.02
2013-10-31,26.81,$0.78,34.45
2013-07-31,22.74,$0.74,30.84
2013-04-30,17.59,$0.69,25.49
2013-01-31,18.13,$0.66,27.58
2012-10-31,14.27,$0.65,21.84
2012-07-31,13.18,$0.61,21.5
2012-04-30,14.87,$0.60,24.93
2012-01-31,16.41,$0.58,28.28
2011-10-31,16.81,$0.56,29.82
2011-07-31,15.4,$0.54,28.52
2011-04-30,14.18,$0.50,28.47
2011-01-31,12.32,$0.46,26.55
2010-10-31,11.71,$0.43,27.55
2010-07-31,9.3,$0.39,23.56
2010-04-30,10.12,$0.37,27.68
2010-01-31,7.99,$0.35,22.81
2009-10-31,7.14,$0.35,20.62
