Glaukos PE Ratio Historical Data,Glaukos PE Ratio Historical Data,Glaukos PE Ratio Historical Data,Glaukos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,129.25,,0.0
2024-06-30,118.35,$-3.26,0.0
2024-03-31,94.29,$-2.88,0.0
2023-12-31,79.49,$-2.78,0.0
2023-09-30,75.25,$-2.69,0.0
2023-06-30,71.21,$-2.64,0.0
2023-03-31,50.1,$-2.92,0.0
2022-12-31,43.68,$-2.09,0.0
2022-09-30,53.24,$-1.90,0.0
2022-06-30,45.42,$-1.19,0.0
2022-03-31,57.82,$-0.61,0.0
2021-12-31,44.44,$-1.08,0.0
2021-09-30,48.17,$-0.85,0.0
2021-06-30,84.83,$-1.33,0.0
2021-03-31,83.93,$-1.85,0.0
2020-12-31,75.26,$-2.73,0.0
2020-09-30,49.52,$-1.65,0.0
2020-06-30,38.42,$-1.67,0.0
2020-03-31,30.86,$-0.94,0.0
2019-12-31,54.47,$0.26,209.5
2019-09-30,62.51,$-0.54,0.0
2019-06-30,75.4,$-0.36,0.0
2019-03-31,78.37,$-0.34,0.0
2018-12-31,56.17,$-0.38,0.0
2018-09-30,64.9,$-0.39,0.0
2018-06-30,40.64,$-0.16,0.0
2018-03-31,30.83,$-0.11,0.0
2017-12-31,25.65,$-0.01,0.0
2017-09-30,33.0,$-0.04,0.0
2017-06-30,41.47,$-0.05,0.0
2017-03-31,51.3,$0.11,466.36
2016-12-31,34.3,$0.12,285.83
2016-09-30,37.74,$0.05,754.8
2016-06-30,29.16,$-0.05,0.0
2016-03-31,16.86,$-1.41,0.0
