Comp En De Mn Cemig ADS PE Ratio Historical Data,Comp En De Mn Cemig ADS PE Ratio Historical Data,Comp En De Mn Cemig ADS PE Ratio Historical Data,Comp En De Mn Cemig ADS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1.96,,4.69
2024-06-30,1.64,$0.42,3.92
2024-03-31,1.75,$0.40,4.39
2023-12-31,1.62,$0.41,3.99
2023-09-30,1.66,$0.37,4.48
2023-06-30,1.79,$0.35,5.05
2023-03-31,1.5,$0.26,5.75
2022-12-31,1.35,$0.25,5.5
2022-09-30,1.32,$0.22,6.12
2022-06-30,1.3,$0.17,7.76
2022-03-31,1.54,$0.30,5.17
2021-12-31,1.16,$0.25,4.75
2021-09-30,1.18,$0.27,4.43
2021-06-30,1.11,$0.27,4.15
2021-03-31,0.93,$0.21,4.48
2020-12-31,1.17,$0.18,6.55
2020-09-30,0.75,$0.10,7.82
2020-06-30,0.78,$0.04,20.32
2020-03-31,0.64,$0.16,4.08
2019-12-31,1.27,$0.24,5.31
2019-09-30,1.26,$0.24,5.27
2019-06-30,1.42,$0.27,5.36
2019-03-31,1.29,$0.07,18.07
2018-12-31,1.29,$0.05,28.02
2018-09-30,0.62,$0.13,4.85
2018-06-30,0.66,$0.12,5.67
2018-03-31,0.89,$0.14,6.44
2017-12-31,0.71,$0.13,5.34
2017-09-30,0.85,$0.05,16.72
2017-06-30,0.83,$0.12,7.04
2017-03-31,1.12,$0.13,8.76
2016-12-31,0.77,$0.08,9.49
2016-09-30,0.86,$0.08,10.57
2016-06-30,0.74,$0.05,16.03
2016-03-31,0.71,$0.09,7.76
2015-12-31,0.46,$0.09,5.05
2015-09-30,0.55,$0.09,5.99
2015-06-30,1.18,$0.08,15.39
2015-03-31,1.23,$0.14,8.97
2014-12-31,1.49,$0.14,10.83
2014-09-30,1.75,$0.14,12.74
2014-06-30,2.19,$0.25,8.61
2014-03-31,1.77,$0.23,7.65
2013-12-31,1.55,$0.43,3.64
2013-09-30,1.69,$0.88,1.91
2013-06-30,1.75,$0.76,2.31
2013-03-31,2.24,$0.80,2.81
2012-12-31,2.05,$0.60,3.41
2012-09-30,2.19,$0.33,6.68
2012-06-30,3.33,$0.33,10.16
2012-03-31,4.04,$0.18,22.07
2011-12-31,3.02,$0.34,8.84
2011-09-30,2.47,$0.16,15.55
2011-06-30,3.44,$0.29,11.9
2011-03-31,3.16,$0.36,8.9
2010-12-31,2.72,$0.29,9.29
2010-09-30,2.62,$0.39,6.68
2010-06-30,2.35,$0.41,5.74
2010-03-31,2.63,$0.45,5.86
2009-12-31,2.85,$0.43,6.56
