Unity Software PE Ratio Historical Data,Unity Software PE Ratio Historical Data,Unity Software PE Ratio Historical Data,Unity Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.27,,0.0
2024-06-30,16.26,$-2.05,0.0
2024-03-31,26.7,$-2.24,0.0
2023-12-31,40.89,$-2.16,0.0
2023-09-30,31.39,$-2.32,0.0
2023-06-30,43.42,$-2.84,0.0
2023-03-31,32.44,$-3.02,0.0
2022-12-31,28.59,$-2.95,0.0
2022-09-30,31.86,$-2.69,0.0
2022-06-30,36.82,$-2.26,0.0
2022-03-31,99.21,$-2.10,0.0
2021-12-31,142.99,$-1.89,0.0
2021-09-30,126.25,$-1.64,0.0
2021-06-30,109.83,$-2.20,0.0
