Skechers U.S.A PE Ratio Historical Data,Skechers U.S.A PE Ratio Historical Data,Skechers U.S.A PE Ratio Historical Data,Skechers U.S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.0,,16.62
2024-06-30,69.12,$3.73,18.53
2024-03-31,61.26,$3.80,16.12
2023-12-31,62.34,$3.49,17.86
2023-09-30,48.95,$3.41,14.35
2023-06-30,52.66,$3.03,17.38
2023-03-31,47.52,$2.63,18.07
2022-12-31,41.95,$2.38,17.63
2022-09-30,31.72,$4.46,7.11
2022-06-30,35.58,$4.57,7.79
2022-03-31,40.76,$4.87,8.37
2021-12-31,43.4,$4.73,9.18
2021-09-30,42.12,$2.51,16.78
2021-06-30,49.83,$2.26,22.05
2021-03-31,41.71,$0.94,44.37
2020-12-31,35.94,$0.63,57.05
2020-09-30,30.22,$0.68,44.44
2020-06-30,31.38,$0.94,33.38
2020-03-31,23.74,$1.87,12.7
2019-12-31,43.19,$2.26,19.11
2019-09-30,37.35,$2.18,17.13
2019-06-30,31.49,$2.09,15.07
2019-03-31,33.61,$1.89,17.78
2018-12-31,22.89,$0.75,30.52
2018-09-30,27.93,$1.03,27.12
2018-06-30,30.01,$0.83,36.16
2017-12-31,37.84,$1.14,33.19
2017-09-30,25.09,$1.61,15.58
2017-06-30,29.5,$1.77,16.67
2017-03-31,27.45,$1.81,15.17
2016-12-31,24.58,$1.69,14.54
2018-03-31,38.89,$2.28,17.06
2016-09-30,22.9,$1.72,13.31
2016-06-30,29.72,$1.73,17.18
2016-03-31,30.45,$1.77,17.24
2015-12-31,30.21,$1.50,20.09
2015-09-30,44.69,$1.46,30.68
2015-06-30,36.6,$1.36,26.91
2015-03-31,23.97,$1.07,22.4
2014-12-31,18.42,$0.91,20.31
2014-09-30,17.77,$0.86,20.74
2014-06-30,15.23,$0.70,21.76
2014-03-31,12.18,$0.52,23.42
2013-12-31,11.04,$0.36,30.68
2013-09-30,10.37,$0.29,35.34
2013-06-30,8.0,$0.19,42.12
2013-03-31,7.05,$0.13,54.23
2012-12-31,6.17,$0.06,97.27
2012-09-30,6.8,$-0.36,0.0
2012-06-30,6.79,$-0.37,0.0
2012-03-31,4.24,$-0.57,0.0
2011-12-31,4.04,$-0.46,0.0
2011-09-30,4.68,$-0.05,0.0
2011-06-30,4.83,$0.14,33.68
2011-03-31,6.85,$0.62,10.98
2010-12-31,6.67,$0.93,7.17
2010-09-30,7.83,$1.10,7.12
2010-06-30,12.17,$1.03,11.86
2010-03-31,12.11,$0.71,17.05
2009-12-31,9.8,$0.38,25.58
