KBR PE Ratio Historical Data,KBR PE Ratio Historical Data,KBR PE Ratio Historical Data,KBR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.43,,47.23
2024-06-30,63.98,$1.47,43.53
2024-03-31,63.36,$-1.92,0.0
2023-12-31,55.01,$-2.05,0.0
2023-09-30,58.37,$-1.58,0.0
2023-06-30,64.29,$-0.93,0.0
2023-03-31,54.28,$2.28,23.81
2022-12-31,51.93,$1.21,42.92
2022-09-30,42.41,$1.05,40.39
2022-06-30,47.37,$0.94,50.39
2022-03-31,53.44,$-0.75,0.0
2021-12-31,46.39,$-0.11,0.0
2021-09-30,38.29,$-0.21,0.0
2021-06-30,36.97,$-0.87,0.0
2020-12-31,29.8,$-0.52,0.0
2020-09-30,21.47,$-0.25,0.0
2020-06-30,21.56,$-0.28,0.0
2020-03-31,19.7,$0.39,50.5
2019-12-31,28.89,$1.46,19.79
2021-03-31,36.99,$1.34,27.61
2019-09-30,23.18,$1.32,17.56
2019-06-30,23.49,$1.34,17.53
2019-03-31,17.92,$1.30,13.78
2018-12-31,14.19,$1.99,7.13
2018-09-30,19.65,$3.62,5.43
2018-06-30,16.6,$3.53,4.7
2018-03-31,14.93,$3.77,3.96
2017-12-31,18.2,$3.06,5.95
2017-09-30,16.34,$0.51,32.04
2017-06-30,13.85,$-0.25,0.0
2017-03-31,13.6,$-0.47,0.0
2016-12-31,15.02,$-0.43,0.0
2016-09-30,13.55,$0.47,28.83
2016-06-30,11.79,$1.29,9.14
2016-03-31,13.71,$1.40,9.8
2015-12-31,14.91,$1.40,10.65
2015-09-30,14.61,$-7.46,0.0
2015-06-30,17.01,$-7.63,0.0
2015-03-31,12.59,$-8.12,0.0
2014-12-31,14.66,$-8.24,0.0
2014-09-30,16.2,$0.49,33.07
2014-06-30,20.45,$0.89,22.97
2013-12-31,27.18,$1.54,17.65
2013-09-30,27.75,$1.56,17.79
2013-06-30,27.56,$1.11,24.83
2013-03-31,27.13,$-0.05,0.0
2012-12-31,25.24,$0.06,420.73
2014-03-31,22.8,$0.47,48.52
2012-09-30,25.12,$1.36,18.47
2012-06-30,20.78,$3.14,6.62
2012-03-31,29.83,$3.09,9.65
2011-12-31,23.36,$3.17,7.37
2011-09-30,19.76,$3.08,6.42
2011-06-30,31.47,$2.47,12.74
2011-03-31,31.49,$2.48,12.7
2010-12-31,25.37,$2.08,12.2
2010-09-30,20.48,$2.02,10.14
2010-06-30,16.87,$1.85,9.12
2010-03-31,18.34,$1.61,11.39
2009-12-31,15.69,$1.80,8.71
