Allete PE Ratio Historical Data,Allete PE Ratio Historical Data,Allete PE Ratio Historical Data,Allete PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.42,,16.82
2024-06-30,61.67,$3.83,16.1
2024-03-31,58.33,$4.16,14.02
2023-12-31,59.09,$4.30,13.74
2023-09-30,50.4,$4.31,11.69
2023-06-30,54.67,$3.41,16.03
2023-03-31,60.05,$3.18,18.88
2022-12-31,59.5,$3.40,17.5
2022-09-30,45.69,$3.68,12.41
2022-06-30,53.11,$3.62,14.67
2022-03-31,59.87,$3.48,17.21
2021-12-31,58.69,$3.23,18.17
2021-09-30,52.14,$2.95,17.67
2021-06-30,60.76,$3.20,18.99
2021-03-31,57.82,$3.06,18.89
2020-12-31,52.79,$3.35,15.76
2020-09-30,43.61,$3.41,12.79
2020-06-30,45.54,$3.23,14.1
2020-03-31,49.99,$3.50,14.28
2019-12-31,66.36,$3.59,18.49
2019-09-30,70.95,$3.81,18.62
2019-06-30,67.54,$3.80,17.77
2019-03-31,66.27,$3.75,17.67
2018-12-31,60.96,$3.37,18.09
2018-09-30,59.57,$3.00,19.86
2018-06-30,61.03,$3.29,18.55
2018-03-31,56.55,$3.65,15.49
2017-12-31,57.73,$3.55,16.26
2017-09-30,59.59,$3.55,16.79
2017-03-31,51.43,$3.17,16.22
2016-12-31,48.36,$3.13,15.45
2016-09-30,44.52,$2.61,17.06
2016-06-30,47.86,$2.52,18.99
2016-03-31,41.15,$3.25,12.66
2015-12-31,36.93,$2.78,13.29
2017-06-30,54.87,$3.26,16.83
2015-09-30,36.32,$3.27,11.11
2015-06-30,33.05,$3.01,10.98
2015-03-31,37.19,$2.95,12.61
2014-12-31,38.51,$2.90,13.28
2014-09-30,30.71,$2.99,10.27
2014-06-30,35.17,$2.65,13.27
2014-03-31,35.54,$2.60,13.67
2013-12-31,33.49,$2.63,12.73
2013-09-30,32.12,$2.56,12.55
2013-06-30,32.84,$2.71,12.12
2013-03-31,31.99,$2.75,11.63
2012-12-31,26.48,$2.58,10.26
2012-09-30,26.66,$2.36,11.3
2012-06-30,26.4,$2.15,12.28
2012-03-31,25.9,$2.24,11.56
2011-12-31,25.92,$2.65,9.78
2011-09-30,22.36,$2.50,8.94
2011-06-30,24.75,$2.49,9.94
2011-03-31,23.25,$2.58,9.01
2010-12-31,21.97,$2.19,10.03
2010-09-30,21.22,$2.37,8.95
2010-06-30,19.7,$2.30,8.57
2010-03-31,19.04,$2.02,9.43
2009-12-31,18.32,$1.89,9.7
