Nova PE Ratio Historical Data,Nova PE Ratio Historical Data,Nova PE Ratio Historical Data,Nova PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,187.2,,38.92
2024-06-30,234.53,$4.81,48.76
2024-03-31,177.38,$4.34,40.87
2023-12-31,137.39,$4.28,32.1
2023-09-30,112.44,$4.22,26.64
2023-06-30,117.3,$4.27,27.47
2023-03-31,104.47,$4.42,23.64
2022-12-31,81.68,$4.40,18.56
2022-09-30,85.3,$3.99,21.38
2022-06-30,88.53,$3.91,22.64
2022-03-31,108.88,$3.59,30.33
2021-12-31,146.5,$3.12,46.96
2021-09-30,102.29,$2.86,35.77
2021-06-30,102.89,$2.32,44.35
2021-03-31,91.01,$1.85,49.19
2020-12-31,70.6,$1.66,42.53
2020-09-30,52.14,$1.62,32.19
2020-06-30,48.19,$1.44,33.47
2020-03-31,32.65,$1.37,23.83
2019-12-31,37.83,$1.23,30.76
2019-09-30,31.77,$1.33,23.89
2019-06-30,25.59,$1.49,17.17
2019-03-31,25.18,$1.67,15.08
2018-12-31,22.78,$1.89,12.05
2018-09-30,26.31,$1.65,15.95
2018-06-30,27.25,$1.59,17.14
2018-03-31,27.13,$1.65,16.44
2017-12-31,25.91,$1.64,15.8
2017-09-30,28.11,$1.65,17.04
2017-06-30,22.09,$1.07,20.64
2017-03-31,18.59,$0.71,26.18
2016-12-31,13.16,$0.34,38.71
2016-09-30,11.82,$0.23,51.39
2016-06-30,10.94,$0.61,17.93
2016-03-31,10.41,$0.58,17.95
2015-12-31,9.8,$0.58,16.9
2015-09-30,9.62,$0.51,18.86
2015-06-30,12.5,$0.43,29.07
2015-03-31,11.52,$0.55,20.95
2014-12-31,10.39,$0.67,15.51
2014-09-30,10.8,$0.66,16.36
2014-06-30,12.01,$0.62,19.37
2014-03-31,11.2,$0.52,21.54
2013-12-31,9.84,$0.38,25.89
2013-09-30,8.87,$0.36,24.64
2013-06-30,9.05,$0.39,23.21
2013-03-31,9.0,$0.43,20.93
2012-12-31,7.98,$0.44,18.14
2012-09-30,7.8,$0.53,14.72
2012-06-30,8.72,$0.64,13.63
2012-03-31,8.96,$0.84,10.67
2011-12-31,7.37,$1.04,7.09
2011-09-30,5.37,$1.14,4.71
2011-06-30,10.12,$1.19,8.5
2011-03-31,9.78,$1.03,9.5
2010-12-31,8.31,$0.84,9.89
2010-09-30,5.9,$0.69,8.55
2010-06-30,4.15,$0.50,8.3
2010-03-31,5.48,$0.31,17.68
2009-12-31,6.46,$0.11,58.73
