White Mountains Insurance Group PE Ratio Historical Data,White Mountains Insurance Group PE Ratio Historical Data,White Mountains Insurance Group PE Ratio Historical Data,White Mountains Insurance Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1884.61,,9.81
2024-06-30,1817.45,$192.15,9.46
2024-03-31,1794.3,$221.04,8.12
2023-12-31,1504.14,$198.54,7.58
2023-09-30,1494.82,$102.36,14.6
2023-06-30,1388.1,$400.10,3.47
2023-03-31,1376.69,$335.65,4.1
2022-12-31,1412.49,$276.92,5.1
2022-09-30,1301.32,$272.10,4.78
2022-06-30,1244.51,$-155.01,0.0
2022-03-31,1134.76,$-53.65,0.0
2021-12-31,1011.61,$-89.05,0.0
2021-09-30,1067.19,$57.78,18.47
2021-06-30,1145.44,$253.05,4.53
2021-03-31,1112.38,$245.63,4.53
2020-12-31,997.55,$229.39,4.35
2020-09-30,776.58,$90.81,8.55
2020-06-30,885.21,$31.01,28.55
2020-03-31,907.17,$0.31,2926.37
2019-12-31,1110.72,$-2.39,0.0
2019-09-30,1075.36,$-8.68,0.0
2019-06-30,1017.07,$-22.95,0.0
2018-12-31,853.08,$-42.21,0.0
2018-09-30,930.84,$7.03,132.41
2018-06-30,901.73,$83.84,10.76
2018-03-31,818.1,$213.63,3.83
2017-12-31,845.67,$229.84,3.68
2019-03-31,921.5,$231.34,3.98
2017-09-30,851.35,$134.40,6.33
2017-06-30,862.9,$22.39,38.54
2017-03-31,874.08,$85.79,10.19
2016-12-31,829.62,$80.63,10.29
2016-09-30,823.62,$135.18,6.09
2016-06-30,835.53,$106.36,7.86
2016-03-31,796.43,$40.29,19.77
2015-12-31,720.31,$52.04,13.84
2015-09-30,740.62,$16.47,44.97
2015-06-30,649.09,$34.94,18.58
2015-03-31,678.4,$49.75,13.64
2014-12-31,623.55,$51.14,12.19
2014-09-30,623.51,$58.55,10.65
2014-06-30,602.1,$59.36,10.14
2014-03-31,593.65,$48.09,12.34
2013-12-31,595.76,$51.78,11.51
2013-09-30,560.73,$43.12,13.0
2013-06-30,567.97,$36.76,15.45
2013-03-31,560.24,$36.42,15.38
2012-12-31,507.85,$122.29,4.15
2012-09-30,506.21,$109.86,4.61
2012-06-30,514.51,$108.44,4.74
2011-12-31,446.27,$101.01,4.42
2011-09-30,399.32,$4.80,83.19
2011-06-30,413.5,$19.41,21.3
2011-03-31,358.43,$23.94,14.97
2010-12-31,329.34,$27.73,11.88
2012-03-31,494.76,$14.42,34.31
2010-09-30,302.71,$13.07,23.16
2010-06-30,318.16,$25.26,12.6
2010-03-31,348.38,$45.33,7.69
2009-12-31,325.54,$53.25,6.11
