IAC PE Ratio Historical Data,IAC PE Ratio Historical Data,IAC PE Ratio Historical Data,IAC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.31,,0.0
2024-06-30,46.85,$-2.22,0.0
2024-03-31,53.34,$-1.58,0.0
2023-12-31,52.38,$2.48,21.12
2023-09-30,50.39,$-1.24,0.0
2023-06-30,62.8,$2.74,22.92
2023-03-31,51.6,$-6.21,0.0
2022-12-31,44.4,$-13.50,0.0
2022-09-30,55.38,$-13.28,0.0
2022-06-30,75.97,$-11.89,0.0
2022-03-31,100.28,$0.15,668.53
2021-12-31,130.71,$6.33,20.65
2021-09-30,130.29,$11.72,11.12
2021-06-30,154.17,$13.11,11.76
2021-03-31,216.31,$9.96,21.72
2020-12-31,189.35,$6.50,29.13
2020-09-30,119.78,$0.91,131.63
2020-06-30,304.26,$-1.13,0.0
2020-03-31,221.57,0,0.0
2019-12-31,249.11,0,0.0
2019-03-31,210.11,0,0.0
