Biohaven PE Ratio Historical Data,Biohaven PE Ratio Historical Data,Biohaven PE Ratio Historical Data,Biohaven PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.64,,0.0
2024-06-30,34.71,$-9.15,0.0
2024-03-31,54.69,$-6.83,0.0
2023-12-31,42.8,$-5.66,0.0
2023-09-30,26.01,$-7.17,0.0
2023-06-30,23.92,$-7.42,0.0
2023-03-31,13.66,$-12.31,0.0
2022-12-31,13.88,$-14.25,0.0
2022-09-30,151.17,$-13.94,0.0
2022-06-30,145.71,$-14.82,0.0
2022-03-31,118.57,$-11.84,0.0
2021-12-31,137.81,$-13.08,0.0
2021-09-30,138.91,$-13.69,0.0
2021-06-30,97.08,$-14.33,0.0
2021-03-31,68.35,$-14.18,0.0
2020-12-31,85.71,$-13.04,0.0
2020-09-30,65.01,$-12.27,0.0
2020-06-30,73.11,$-11.04,0.0
2020-03-31,34.03,$-9.30,0.0
2019-12-31,54.44,$-7.76,0.0
2019-09-30,41.72,$-5.92,0.0
2018-12-31,36.98,$-6.20,0.0
2018-09-30,37.55,$-5.61,0.0
2018-06-30,39.52,$-5.27,0.0
2018-03-31,25.76,$-6.04,0.0
2017-12-31,26.98,$-8.39,0.0
2017-09-30,37.38,$-9.05,0.0
