Takeda Pharmaceutical PE Ratio Historical Data,Takeda Pharmaceutical PE Ratio Historical Data,Takeda Pharmaceutical PE Ratio Historical Data,Takeda Pharmaceutical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.26,,26.91
2024-06-30,12.94,$0.53,24.42
2024-03-31,13.89,$0.55,25.25
2023-12-31,13.98,$0.66,21.19
2023-09-30,15.16,$0.72,21.05
2023-06-30,15.08,$0.72,20.95
2023-03-31,15.82,$0.77,20.55
2022-12-31,14.7,$0.66,22.27
2022-09-30,12.22,$0.54,22.63
2022-06-30,12.9,$0.53,24.34
2022-03-31,13.16,$0.85,15.48
2021-12-31,12.25,$1.47,8.33
2021-09-30,14.72,$1.58,9.31
2021-06-30,14.76,$1.46,10.11
2021-03-31,16.02,$1.13,14.17
2020-12-31,15.62,$0.55,28.39
2020-09-30,15.31,$0.30,51.03
2020-06-30,15.03,$0.45,33.4
2020-03-31,12.72,$0.14,90.88
2019-12-31,16.11,$0.34,47.37
