SentinelOne PE Ratio Historical Data,SentinelOne PE Ratio Historical Data,SentinelOne PE Ratio Historical Data,SentinelOne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.02,,0.0
2024-07-31,22.9,$-0.93,0.0
2024-04-30,21.13,$-1.02,0.0
2024-01-31,26.8,$-1.16,0.0
2023-10-31,15.63,$-1.25,0.0
2023-07-31,16.67,$-1.36,0.0
2023-04-30,16.07,$-1.40,0.0
2023-01-31,15.09,$-1.36,0.0
2022-10-31,22.84,$-1.30,0.0
2022-07-31,24.85,$-1.21,0.0
2022-04-30,33.27,$-1.43,0.0
2022-01-31,44.75,$-1.10,0.0
