Nutanix PE Ratio Historical Data,Nutanix PE Ratio Historical Data,Nutanix PE Ratio Historical Data,Nutanix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.36,,0.0
2024-07-31,50.51,$-0.52,0.0
2024-04-30,60.7,$-0.07,0.0
2024-01-31,56.2,$-0.36,0.0
2023-10-31,36.19,$-0.79,0.0
2023-07-31,30.2,$-1.15,0.0
2023-04-30,23.98,$-1.76,0.0
2023-01-31,27.87,$-1.91,0.0
2022-10-31,27.4,$-2.13,0.0
2022-07-31,15.13,$-3.65,0.0
2022-04-30,25.03,$-4.66,0.0
2022-01-31,27.34,$-4.76,0.0
2021-10-31,34.31,$-5.65,0.0
2021-07-31,36.02,$-5.01,0.0
2021-04-30,27.04,$-4.26,0.0
2021-01-31,30.52,$-4.89,0.0
2020-10-31,24.34,$-4.60,0.0
2020-07-31,22.19,$-4.50,0.0
2020-04-30,20.49,$-4.61,0.0
2020-01-31,32.47,$-4.53,0.0
2019-10-31,29.22,$-4.08,0.0
2019-07-31,22.7,$-3.41,0.0
2019-04-30,43.19,$-2.88,0.0
2019-01-31,51.23,$-2.24,0.0
2018-10-31,41.51,$-1.95,0.0
2018-07-31,48.89,$-1.80,0.0
2018-04-30,50.59,$-1.88,0.0
2018-01-31,32.1,$-2.15,0.0
2017-10-31,28.5,$-2.42,0.0
2017-07-31,21.25,$-4.21,0.0
