ServisFirst Bancshares PE Ratio Historical Data,ServisFirst Bancshares PE Ratio Historical Data,ServisFirst Bancshares PE Ratio Historical Data,ServisFirst Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.57,,24.19
2024-06-30,62.65,$3.62,17.31
2024-03-31,65.79,$3.65,18.02
2023-12-31,65.76,$3.79,17.35
2023-09-30,51.26,$4.26,12.03
2023-06-30,39.99,$4.45,8.99
2023-03-31,53.02,$4.61,11.5
2022-12-31,66.54,$4.61,14.43
2022-09-30,76.94,$4.36,17.65
2022-06-30,75.68,$4.15,18.24
2022-03-31,91.12,$3.93,23.19
2021-12-31,81.02,$3.82,21.21
2021-09-30,74.01,$3.77,19.63
2021-06-30,64.51,$3.61,17.87
2021-03-31,58.03,$3.44,16.87
2020-12-31,38.0,$3.13,12.14
2020-09-30,31.93,$2.95,10.82
2020-06-30,33.38,$2.84,11.75
2020-03-31,27.24,$2.75,9.9
2019-12-31,34.8,$2.76,12.61
2019-09-30,30.47,$2.67,11.41
2019-06-30,31.35,$2.62,11.97
2019-03-31,30.76,$2.58,11.92
2018-12-31,28.91,$2.53,11.43
2018-09-30,35.51,$2.25,15.78
2018-06-30,37.75,$2.08,18.15
2018-03-31,36.83,$1.91,19.28
2017-12-31,37.34,$1.73,21.58
2017-09-30,34.91,$1.74,20.06
2017-06-30,33.11,$1.66,19.94
2017-03-31,32.61,$1.57,20.83
2016-12-31,33.51,$1.48,22.72
2016-09-30,23.21,$1.45,16.06
2016-06-30,22.01,$1.36,16.18
2016-03-31,19.75,$1.28,15.49
2015-12-31,21.11,$1.19,17.74
2015-09-30,18.42,$1.11,16.59
2015-06-30,16.64,$1.08,15.48
2015-03-31,14.58,$1.04,14.09
