Viking Therapeutics PE Ratio Historical Data,Viking Therapeutics PE Ratio Historical Data,Viking Therapeutics PE Ratio Historical Data,Viking Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.62,,0.0
2024-06-30,53.01,$-0.94,0.0
2024-03-31,82.0,$-0.99,0.0
2023-12-31,18.61,$-0.99,0.0
2023-09-30,11.07,$-0.95,0.0
2023-03-31,16.65,$-0.95,0.0
2022-12-31,9.4,$-0.91,0.0
2022-09-30,2.72,$-0.81,0.0
2022-06-30,2.89,$-0.79,0.0
2022-03-31,3.0,$-0.73,0.0
2021-12-31,4.6,$-0.72,0.0
2023-06-30,16.21,$-0.75,0.0
2021-09-30,6.28,$-0.71,0.0
2021-06-30,5.99,$-0.67,0.0
2021-03-31,6.33,$-0.60,0.0
2020-12-31,5.63,$-0.54,0.0
2020-09-30,5.82,$-0.49,0.0
2020-06-30,7.21,$-0.44,0.0
2020-03-31,4.68,$-0.42,0.0
2019-12-31,8.02,$-0.36,0.0
2019-09-30,6.88,$-0.33,0.0
2019-06-30,8.3,$-0.36,0.0
2019-03-31,9.94,$-0.38,0.0
2018-12-31,7.65,$-0.41,0.0
2018-09-30,17.42,$-0.48,0.0
2018-06-30,9.49,$-0.59,0.0
2018-03-31,4.37,$-0.67,0.0
2017-12-31,4.06,$-0.80,0.0
2017-09-30,1.91,$-0.84,0.0
2017-06-30,1.08,$-0.82,0.0
2017-03-31,1.46,$-0.83,0.0
2016-12-31,1.19,$-1.00,0.0
2016-09-30,1.4,$-1.38,0.0
2016-06-30,1.26,$-1.71,0.0
2016-03-31,1.42,$-2.56,0.0
