BRF S.A PE Ratio Historical Data,BRF S.A PE Ratio Historical Data,BRF S.A PE Ratio Historical Data,BRF S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.25,,15.74
2024-06-30,4.07,$0.27,15.07
2024-03-31,3.26,$0.05,65.2
2023-12-31,2.78,$-0.19,0.0
2023-09-30,2.05,$-0.34,0.0
2023-06-30,1.9,$-0.31,0.0
2023-03-31,1.28,$-0.30,0.0
2022-12-31,1.58,$-0.42,0.0
2022-09-30,2.34,$-0.21,0.0
2022-06-30,2.56,$-0.26,0.0
2022-03-31,3.97,$-0.22,0.0
2021-12-31,4.09,$0.09,45.44
2021-09-30,5.02,$0.09,55.78
2021-06-30,5.47,$0.21,26.05
2021-03-31,4.49,$0.34,13.21
2020-12-31,4.2,$0.32,13.13
2020-09-30,3.28,$0.31,10.58
2020-06-30,3.97,$0.35,11.34
2020-03-31,2.9,$0.38,7.63
2019-12-31,8.7,$0.06,145.0
2019-09-30,9.16,$-0.83,0.0
2019-06-30,7.6,$-1.17,0.0
2019-03-31,5.82,$-1.81,0.0
2018-12-31,5.68,$-1.53,0.0
2018-09-30,5.48,$-1.14,0.0
2018-06-30,4.68,$-0.84,0.0
2018-03-31,6.92,$-0.37,0.0
2017-12-31,11.26,$-0.43,0.0
2017-09-30,14.41,$-0.30,0.0
2017-06-30,11.79,$-0.34,0.0
2017-03-31,12.25,$-0.26,0.0
2016-12-31,14.76,$-0.14,0.0
2016-09-30,17.06,$0.32,53.31
2016-06-30,13.75,$0.49,28.06
2016-03-31,14.04,$0.88,15.95
2015-09-30,17.3,$1.19,14.54
2015-03-31,19.1,$1.04,18.37
2014-12-31,22.37,$1.02,21.93
2014-09-30,22.79,$0.72,31.65
2014-06-30,22.93,$0.55,41.7
2014-03-31,18.99,$0.52,36.53
2013-12-31,19.67,$0.57,34.51
2013-09-30,23.12,$0.80,28.9
2013-06-30,20.28,$0.70,28.98
2013-03-31,20.64,$0.59,34.98
2012-12-31,19.61,$0.48,40.86
2012-09-30,16.07,$0.23,69.88
2012-06-30,14.11,$0.42,33.6
2012-03-31,18.52,$0.78,23.75
2011-12-31,18.1,$0.94,19.25
2011-09-30,16.05,$1.11,14.46
2011-06-30,15.87,$1.00,15.87
2011-03-31,17.27,$0.72,23.99
2010-12-31,15.27,$0.49,31.17
2010-09-30,13.93,$0.26,53.59
2010-06-30,11.9,$0.28,43.26
2010-03-31,12.29,$0.28,43.91
2009-12-31,11.72,$0.12,97.66
