TIM S.A PE Ratio Historical Data,TIM S.A PE Ratio Historical Data,TIM S.A PE Ratio Historical Data,TIM S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.54,,12.14
2024-06-30,14.32,$1.28,11.19
2024-03-31,17.75,$1.23,14.43
2023-12-31,18.47,$1.18,15.65
2023-09-30,14.9,$0.94,15.85
2023-06-30,15.29,$0.78,19.6
2023-03-31,12.36,$0.64,19.31
2022-12-31,11.65,$0.64,18.2
2022-09-30,11.18,$0.81,13.8
2022-06-30,12.15,$1.06,11.46
2022-03-31,14.34,$1.20,11.95
2021-12-31,11.51,$1.14,10.1
2021-09-30,10.45,$0.81,12.9
2021-06-30,11.21,$0.41,27.33
2021-03-31,10.94,$0.25,43.78
2020-12-31,13.42,$0.23,58.36
2020-09-30,10.84,$0.56,19.36
2020-06-30,12.17,$0.85,14.32
2020-03-31,11.44,$1.82,6.28
2019-12-31,17.97,$1.81,9.93
2019-09-30,13.51,$1.77,7.63
2019-06-30,13.91,$2.18,6.38
2019-03-31,14.01,$1.30,10.78
2018-12-31,14.25,$1.39,10.25
2018-09-30,13.46,$1.43,9.41
2018-06-30,15.66,$0.91,17.21
2018-03-31,20.08,$0.86,23.34
2017-12-31,17.89,$0.78,22.94
2017-09-30,16.94,$0.63,26.88
2017-06-30,13.71,$0.57,24.05
2017-03-31,14.8,$0.47,31.5
2016-12-31,10.93,$0.46,23.77
2016-09-30,11.34,$0.49,23.14
2016-06-30,9.77,$0.58,16.85
2016-03-31,9.98,$1.16,8.6
2015-12-31,7.65,$1.30,5.89
2015-09-30,8.53,$1.38,6.18
2015-06-30,14.76,$1.46,10.11
2015-03-31,14.96,$1.18,12.68
2014-12-31,20.04,$1.31,15.3
2014-09-30,23.64,$1.40,16.88
2014-06-30,26.19,$1.41,18.57
2014-03-31,23.42,$1.42,16.49
2013-12-31,23.67,$1.40,16.91
2013-09-30,21.26,$1.51,14.08
2013-06-30,16.78,$1.54,10.9
2013-03-31,19.38,$1.54,12.58
2012-12-31,17.55,$1.52,11.55
2012-09-30,17.02,$1.47,11.58
2012-06-30,24.32,$1.58,15.39
2012-03-31,28.35,$1.77,16.06
2011-12-31,22.68,$1.79,12.65
2011-09-30,20.71,$4.01,5.16
2011-06-30,43.25,$3.75,11.54
2011-03-31,37.35,$3.35,11.15
2010-12-31,29.21,$3.06,9.54
2010-09-30,28.23,$0.35,80.44
2010-06-30,23.22,$0.26,88.73
2010-03-31,23.37,$0.11,218.17
2009-12-31,25.01,$-0.10,0.0
