Impinj PE Ratio Historical Data,Impinj PE Ratio Historical Data,Impinj PE Ratio Historical Data,Impinj PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,229.76,,792.28
2024-06-30,156.77,$0.29,540.59
2024-03-31,128.41,$-0.35,0.0
2023-12-31,90.03,$-1.62,0.0
2023-09-30,55.03,$-1.06,0.0
2023-06-30,89.65,$-0.56,0.0
2023-03-31,135.52,$-0.71,0.0
2022-12-31,109.18,$-0.96,0.0
2022-09-30,80.03,$-1.77,0.0
2022-06-30,58.67,$-2.21,0.0
2022-03-31,63.54,$-2.13,0.0
2021-12-31,88.7,$-2.11,0.0
2021-09-30,57.13,$-1.98,0.0
2021-06-30,51.59,$-2.08,0.0
2021-03-31,56.87,$-2.48,0.0
2020-12-31,41.87,$-2.27,0.0
2020-09-30,26.35,$-1.94,0.0
2020-06-30,27.47,$-1.50,0.0
2020-03-31,16.71,$-0.92,0.0
2019-12-31,25.86,$-1.06,0.0
2019-09-30,30.83,$-0.99,0.0
2019-06-30,28.62,$-1.13,0.0
2019-03-31,16.76,$-1.30,0.0
2018-12-31,14.55,$-1.65,0.0
2018-09-30,24.82,$-1.82,0.0
2018-06-30,22.11,$-1.72,0.0
2018-03-31,13.02,$-1.41,0.0
2017-12-31,22.53,$-0.84,0.0
2017-09-30,41.61,$-0.38,0.0
2017-06-30,48.65,$-0.14,0.0
