Lennox PE Ratio Historical Data,Lennox PE Ratio Historical Data,Lennox PE Ratio Historical Data,Lennox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,603.55,,33.47
2024-06-30,533.96,$18.03,29.62
2024-03-31,486.79,$17.26,28.2
2023-12-31,444.71,$16.54,26.89
2023-09-30,371.17,$15.15,24.5
2023-06-30,322.28,$15.49,20.81
2023-03-31,247.51,$14.35,17.25
2022-12-31,234.63,$13.89,16.89
2022-09-30,217.44,$13.51,16.09
2022-06-30,200.85,$12.93,15.53
2022-03-31,249.39,$12.48,19.98
2021-12-31,312.63,$12.39,25.23
2021-09-30,282.73,$13.01,21.73
2021-06-30,336.13,$13.02,25.82
2021-03-31,297.77,$11.11,26.8
2020-12-31,261.18,$9.24,28.27
2020-09-30,259.15,$9.28,27.93
2020-06-30,220.86,$8.80,25.1
2020-03-31,171.75,$9.00,19.08
2019-12-31,229.53,$10.40,22.07
2019-09-30,227.86,$9.34,24.4
2019-06-30,257.09,$9.05,28.41
2019-03-31,246.48,$9.60,25.68
2018-12-31,203.54,$8.77,23.21
2018-09-30,202.52,$7.92,25.57
2018-06-30,185.05,$7.71,24.0
2018-03-31,188.33,$7.05,26.71
2017-12-31,191.43,$7.15,26.77
2017-09-30,164.11,$7.06,23.25
2017-06-30,167.91,$6.95,24.16
2017-03-31,152.55,$6.77,22.53
2016-12-31,139.31,$6.33,22.01
2016-09-30,142.42,$5.65,25.21
2016-06-30,128.98,$5.08,25.39
2016-03-31,121.9,$4.35,28.02
2015-12-31,112.32,$4.10,27.4
2015-09-30,101.63,$4.81,21.13
2015-06-30,96.27,$4.43,21.73
2015-03-31,99.51,$4.14,24.04
2014-12-31,84.47,$4.23,19.97
2014-09-30,68.09,$3.97,17.15
2014-06-30,79.03,$3.86,20.47
2014-03-31,79.95,$3.63,22.02
2013-12-31,74.6,$3.39,22.01
2013-09-30,65.61,$3.12,21.03
2013-06-30,56.26,$2.42,23.25
2013-03-31,55.14,$2.03,27.16
2012-12-31,45.47,$1.75,25.98
2012-09-30,41.53,$1.64,25.32
2012-06-30,40.05,$1.71,23.42
2012-03-31,34.46,$1.67,20.63
2011-12-31,28.73,$1.66,17.31
2011-09-30,21.82,$1.85,11.8
2011-06-30,36.23,$1.97,18.39
2011-03-31,44.04,$2.00,22.02
2010-12-31,39.47,$2.10,18.8
2010-09-30,34.69,$1.70,20.41
2010-06-30,34.46,$1.48,23.29
2010-03-31,36.62,$1.18,31.03
2009-12-31,32.15,$0.88,36.53
