Portland General Electric PE Ratio Historical Data,Portland General Electric PE Ratio Historical Data,Portland General Electric PE Ratio Historical Data,Portland General Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.26,,16.58
2024-06-30,42.79,$2.91,14.7
2024-03-31,41.08,$2.61,15.74
2023-12-31,41.9,$2.33,17.98
2023-09-30,38.71,$2.21,17.52
2023-06-30,44.3,$2.40,18.46
2023-03-31,45.77,$2.73,16.77
2022-12-31,45.44,$2.60,17.48
2022-09-30,39.93,$2.77,14.42
2022-06-30,44.0,$2.68,16.42
2022-03-31,49.73,$2.32,21.44
2021-12-31,47.35,$2.72,17.41
2021-09-30,41.69,$2.56,16.29
2021-06-30,40.52,$1.81,22.39
2021-03-31,41.36,$1.88,22.0
2020-12-31,36.95,$1.72,21.48
2020-09-30,30.37,$1.83,16.59
2020-06-30,35.36,$2.63,13.44
2020-03-31,40.17,$2.48,16.2
2019-12-31,46.33,$2.39,19.39
2019-09-30,46.49,$2.26,20.57
2019-06-30,44.38,$2.24,19.81
2019-03-31,42.17,$2.47,17.07
2018-12-31,37.04,$2.37,15.63
2018-09-30,36.55,$2.30,15.89
2018-06-30,33.99,$2.15,15.81
2018-03-31,31.93,$2.00,15.97
2017-12-31,35.62,$2.10,16.96
2017-09-30,35.4,$2.30,15.39
2017-06-30,35.18,$2.24,15.7
2017-03-31,33.95,$2.30,14.76
2016-12-31,32.89,$2.16,15.23
2016-09-30,32.09,$2.05,15.65
2016-06-30,33.0,$2.07,15.94
2016-03-31,29.32,$2.09,14.03
2015-12-31,26.79,$1.96,13.67
2015-09-30,27.01,$1.86,14.52
2015-06-30,24.03,$1.89,12.71
2014-12-31,26.97,$2.18,12.37
2014-09-30,22.73,$2.22,10.24
2014-06-30,24.32,$2.15,11.31
2014-03-31,22.5,$1.43,15.73
2013-12-31,20.83,$1.35,15.43
2013-09-30,19.29,$1.14,16.93
2013-06-30,20.71,$1.24,16.7
2013-03-31,20.34,$1.87,10.88
2012-12-31,18.18,$1.84,9.88
2012-09-30,17.79,$1.85,9.62
2012-06-30,17.37,$1.71,10.16
2015-03-31,26.64,$1.66,16.05
2011-12-31,16.13,$1.96,8.23
2011-09-30,14.95,$1.91,7.83
2011-06-30,15.77,$2.20,7.17
2011-03-31,14.67,$2.56,5.73
2010-12-31,13.24,$1.96,6.76
2012-03-31,16.11,$1.98,8.14
2010-09-30,12.23,$1.44,8.5
2010-06-30,10.92,$1.22,8.95
2010-03-31,11.34,$1.22,9.3
2009-12-31,11.83,$1.33,8.89
