JD PE Ratio Historical Data,JD PE Ratio Historical Data,JD PE Ratio Historical Data,JD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.85,,14.13
2024-06-30,25.84,$2.75,9.4
2024-03-31,26.62,$2.19,12.15
2023-12-31,28.07,$2.13,13.18
2023-09-30,28.31,$2.11,13.42
2023-06-30,33.17,$1.92,17.27
2023-03-31,42.01,$1.76,23.87
2022-12-31,53.72,$0.89,60.36
2022-09-30,48.14,$0.09,534.9
2022-06-30,61.46,$-0.69,0.0
2022-03-31,54.09,$-1.02,0.0
2021-12-31,65.5,$-0.38,0.0
2021-09-30,67.53,$2.47,27.34
2021-06-30,74.6,$3.44,21.69
2021-03-31,78.83,$4.84,16.29
2020-12-31,82.17,$4.60,17.86
2020-09-30,72.55,$2.62,27.69
2020-06-30,56.25,$1.99,28.27
2020-03-31,37.86,$0.56,67.6
2019-12-31,32.93,$1.20,27.44
2019-09-30,26.37,$0.37,71.27
2019-06-30,28.31,$0.61,46.42
2019-03-31,28.18,$0.33,85.4
2018-12-31,19.56,$-0.24,0.0
2018-09-30,24.39,$0.14,174.2
2018-06-30,36.41,$-0.06,0.0
2018-03-31,37.85,$0.12,315.4
2017-12-31,38.72,$-0.03,0.0
2017-09-30,35.71,$-0.11,0.0
2017-06-30,36.66,$-0.29,0.0
2017-03-31,29.08,$-0.29,0.0
2016-12-31,23.78,$-0.33,0.0
2015-03-31,27.46,$-1.09,0.0
2014-12-31,21.63,$-1.04,0.0
2014-09-30,24.14,$-1.09,0.0
2014-06-30,26.65,$-1.17,0.0
2016-06-30,19.84,$-1.09,0.0
2016-03-31,24.77,$-1.12,0.0
2016-09-30,24.39,$-1.08,0.0
