Ionis Pharmaceuticals PE Ratio Historical Data,Ionis Pharmaceuticals PE Ratio Historical Data,Ionis Pharmaceuticals PE Ratio Historical Data,Ionis Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.49,,0.0
2024-06-30,47.66,$-2.14,0.0
2023-12-31,50.59,$-2.56,0.0
2023-09-30,45.36,$-2.87,0.0
2023-06-30,41.03,$-2.82,0.0
2023-03-31,35.74,$-2.55,0.0
2022-12-31,37.77,$-2.42,0.0
2024-03-31,43.35,$-2.51,0.0
2022-09-30,44.23,$-0.12,0.0
2022-06-30,37.02,$-0.37,0.0
2022-03-31,37.04,$-0.20,0.0
2021-12-31,30.43,$-0.38,0.0
2021-09-30,33.54,$-4.23,0.0
2021-06-30,39.89,$-3.87,0.0
2021-03-31,44.96,$-3.53,0.0
2020-12-31,56.54,$-3.24,0.0
2020-09-30,47.45,$0.48,98.85
2020-06-30,58.96,$0.88,67.0
2020-03-31,47.28,$1.10,42.98
2019-12-31,60.41,$2.07,29.18
2019-09-30,59.91,$3.00,19.97
2019-06-30,64.27,$2.79,23.04
2019-03-31,81.17,$2.51,32.34
2018-12-31,54.06,$1.88,28.76
2018-09-30,51.58,$-0.31,0.0
2018-06-30,41.67,$-0.28,0.0
2018-03-31,44.08,$-0.08,0.0
2017-12-31,50.3,$-0.04,0.0
2017-09-30,50.7,$0.15,338.0
2017-06-30,50.87,$0.21,242.24
2017-03-31,40.2,$-0.17,0.0
2016-12-31,47.83,$-0.72,0.0
2016-09-30,36.64,$-1.52,0.0
