Post Holdings PE Ratio Historical Data,Post Holdings PE Ratio Historical Data,Post Holdings PE Ratio Historical Data,Post Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,115.93,,21.59
2024-06-30,104.16,$5.37,19.4
2024-03-31,106.28,$5.22,20.36
2023-12-31,88.06,$4.66,18.9
2023-09-30,85.74,$4.83,17.75
2023-06-30,86.65,$5.14,16.86
2023-03-31,89.87,$6.48,13.87
2022-12-31,90.26,$13.96,6.47
2022-09-30,81.91,$12.19,6.72
2022-06-30,82.35,$11.26,7.31
2022-03-31,69.26,$7.59,9.13
2021-12-31,112.73,$0.88,128.1
2021-09-30,110.16,$2.34,47.08
2021-06-30,108.47,$2.78,39.02
2021-03-31,105.72,$4.25,24.88
2020-12-31,101.01,$-0.20,0.0
2020-09-30,86.0,$-0.03,0.0
2020-06-30,87.62,$-1.70,0.0
2020-03-31,82.97,$-2.01,0.0
2019-12-31,109.1,$1.33,82.03
2019-09-30,105.84,$1.62,65.33
2019-06-30,103.97,$2.20,47.26
2019-03-31,109.4,$3.28,33.35
2018-12-31,89.13,$3.90,22.85
2018-09-30,98.04,$6.05,16.2
2018-06-30,86.02,$6.47,13.3
2018-03-31,75.76,$4.25,17.83
2017-12-31,79.23,$2.94,26.95
2017-09-30,88.27,$0.34,259.62
2017-06-30,77.65,$-0.40,0.0
2017-03-31,87.52,$0.53,165.13
2016-12-31,80.39,$0.66,121.8
2016-09-30,77.17,$-0.41,0.0
2016-06-30,82.69,$-1.04,0.0
2016-03-31,68.77,$-0.71,0.0
2015-12-31,61.7,$-0.28,0.0
2015-09-30,59.1,$-2.47,0.0
2015-06-30,53.93,$-7.12,0.0
2015-03-31,46.84,$-8.37,0.0
2014-12-31,41.89,$-9.49,0.0
2014-09-30,33.18,$-7.60,0.0
2014-06-30,50.91,$-1.84,0.0
2014-03-31,55.12,$-0.89,0.0
2013-12-31,49.27,$-0.09,0.0
2013-09-30,40.37,$0.29,139.21
2013-06-30,43.66,$0.70,62.37
2013-03-31,42.93,$1.13,37.99
2012-12-31,34.25,$1.30,26.35
