NatWest Group PE Ratio Historical Data,NatWest Group PE Ratio Historical Data,NatWest Group PE Ratio Historical Data,NatWest Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.54,,11.49
2024-06-30,7.89,$0.83,9.51
2024-03-31,6.68,$0.87,7.68
2023-09-30,5.34,$0.83,6.47
2023-03-31,5.9,$0.75,7.9
2022-09-30,4.3,$0.58,7.43
2022-03-31,4.88,$0.55,8.88
2021-09-30,5.05,$0.40,12.68
2021-03-31,4.4,$0.16,27.21
2020-09-30,2.17,$0.17,12.59
2020-03-31,2.19,$0.27,8.15
2019-09-30,4.11,$0.40,10.32
2019-03-31,4.88,$0.55,8.89
2018-09-30,4.69,$0.44,10.62
2018-03-31,5.27,$0.22,24.48
2017-09-30,5.18,$-0.23,0.0
2017-03-31,4.32,$-1.09,0.0
2016-09-30,3.32,$-0.86,0.0
2016-03-31,4.54,$-0.66,0.0
2015-12-31,6.32,$-0.54,0.0
2015-09-30,6.79,$-1.45,0.0
2015-06-30,7.88,$-1.46,0.0
2015-03-31,7.19,$-1.49,0.0
2014-12-31,8.62,$-0.97,0.0
2014-09-30,8.5,$-2.06,0.0
2014-06-30,8.04,$-2.58,0.0
2014-03-31,7.39,$-2.61,0.0
2013-12-31,8.07,$-2.88,0.0
2013-09-30,8.25,$-0.90,0.0
2013-06-30,5.99,$-1.07,0.0
2013-03-31,6.0,$-1.25,0.0
2012-12-31,7.68,$-1.85,0.0
2012-09-30,5.92,$-1.08,0.0
2012-06-30,4.84,$-0.23,0.0
2012-03-31,6.29,$-0.37,0.0
2011-12-31,4.54,$-0.05,0.0
2011-09-30,5.08,$-0.02,0.0
2011-06-30,8.87,$-0.82,0.0
2011-03-31,9.39,$-0.28,0.0
2010-12-31,8.77,$-0.17,0.0
2010-09-30,10.56,$-0.59,0.0
2010-06-30,8.62,$-1.36,0.0
2010-03-31,9.43,$-1.58,0.0
2009-12-31,6.69,$-2.20,0.0
