Kratos Defense & Security Solutions PE Ratio Historical Data,Kratos Defense & Security Solutions PE Ratio Historical Data,Kratos Defense & Security Solutions PE Ratio Historical Data,Kratos Defense & Security Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.22,,360.29
2024-06-30,20.01,$0.07,285.86
2024-03-31,18.38,$0.00,0.0
2023-12-31,20.29,$-0.06,0.0
2023-09-30,15.02,$-0.15,0.0
2023-06-30,14.34,$-0.20,0.0
2023-03-31,13.48,$-0.22,0.0
2022-12-31,10.32,$-0.29,0.0
2022-09-30,10.16,$-0.24,0.0
2022-06-30,13.88,$-0.20,0.0
2022-03-31,20.48,$-0.15,0.0
2021-12-31,19.4,$-0.02,0.0
2021-09-30,22.31,$0.62,35.98
2021-06-30,28.49,$0.66,43.17
2021-03-31,27.28,$0.64,42.63
2020-12-31,27.43,$0.63,43.54
2020-09-30,19.28,$0.04,482.0
2020-06-30,15.63,$0.04,390.75
2020-03-31,13.84,$0.09,153.78
2019-12-31,18.01,$0.12,150.08
2019-09-30,18.6,$0.13,143.04
2019-06-30,22.89,$0.13,176.08
2019-03-31,15.63,$0.02,781.5
2018-12-31,14.09,$-0.03,0.0
2018-09-30,14.78,$-0.28,0.0
2018-06-30,11.51,$-0.35,0.0
2018-03-31,10.29,$-0.35,0.0
2017-12-31,10.59,$-0.46,0.0
2017-09-30,13.08,$-0.32,0.0
2017-06-30,11.87,$-0.66,0.0
2017-03-31,7.78,$-0.76,0.0
2016-12-31,7.4,$-1.00,0.0
2016-09-30,6.89,$-1.00,0.0
2016-06-30,4.1,$0.31,13.23
2016-03-31,4.95,$0.23,21.52
2015-12-31,4.1,$0.32,12.81
2015-09-30,4.22,$0.35,12.06
2015-06-30,6.3,$-0.76,0.0
2015-03-31,5.53,$-1.38,0.0
2014-12-31,5.02,$-1.36,0.0
2014-09-30,6.56,$-1.45,0.0
2014-06-30,7.8,$-1.43,0.0
2014-03-31,7.54,$-0.73,0.0
2013-12-31,7.68,$-0.65,0.0
2013-09-30,8.28,$-2.11,0.0
2013-06-30,6.48,$-2.01,0.0
2013-03-31,5.03,$-2.25,0.0
2012-12-31,5.03,$-2.16,0.0
2012-09-30,5.84,$-0.82,0.0
2012-06-30,5.84,$-0.97,0.0
2012-03-31,5.34,$-0.78,0.0
2011-12-31,5.97,$-0.86,0.0
2011-09-30,6.72,$-0.59,0.0
2011-06-30,12.16,$-0.17,0.0
2011-03-31,14.22,$0.70,20.31
2010-12-31,13.17,$0.89,14.8
2010-09-30,10.65,$0.89,11.97
2010-06-30,10.5,$0.88,11.93
2010-03-31,14.27,$0.03,475.67
2009-12-31,10.55,$-3.29,0.0
