Zillow PE Ratio Historical Data,Zillow PE Ratio Historical Data,Zillow PE Ratio Historical Data,Zillow PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.63,,0.0
2024-06-30,46.39,$-0.61,0.0
2024-03-31,48.78,$-0.69,0.0
2023-12-31,57.86,$-0.68,0.0
2023-09-30,46.16,$-0.67,0.0
2023-06-30,50.26,$-0.77,0.0
2023-03-31,44.47,$-0.59,0.0
2022-12-31,32.21,$-0.44,0.0
2022-09-30,28.61,$-1.16,0.0
2022-06-30,31.75,$-2.23,0.0
2022-03-31,49.29,$-2.22,0.0
2021-12-31,63.85,$-2.08,0.0
2021-09-30,88.14,$-0.87,0.0
2021-06-30,122.22,$0.58,210.72
2021-03-31,129.64,$0.16,810.25
2020-12-31,129.8,$-0.82,0.0
2020-09-30,101.59,$-1.49,0.0
2020-06-30,57.61,$-1.96,0.0
2020-03-31,36.02,$-1.93,0.0
2019-12-31,45.94,$-1.48,0.0
2019-09-30,29.82,$-1.47,0.0
2019-06-30,46.39,$-1.16,0.0
2019-03-31,34.74,$-0.83,0.0
2018-12-31,31.58,$-0.60,0.0
2018-09-30,44.25,$-0.53,0.0
2018-06-30,59.06,$-0.48,0.0
2018-03-31,53.8,$-0.58,0.0
2017-12-31,40.92,$-0.51,0.0
2017-09-30,40.21,$-0.23,0.0
2017-06-30,49.01,$-0.24,0.0
2017-03-31,33.67,$-0.99,0.0
2016-12-31,36.47,$-1.23,0.0
2016-09-30,34.65,$-1.24,0.0
2016-06-30,36.28,$-1.43,0.0
