Spire PE Ratio Historical Data,Spire PE Ratio Historical Data,Spire PE Ratio Historical Data,Spire PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,63.78,,15.33
2024-06-30,60.03,$4.16,14.43
2024-03-31,59.9,$3.96,15.13
2023-12-31,60.1,$3.71,16.2
2023-09-30,53.9,$3.85,14.0
2023-06-30,59.7,$4.31,13.85
2023-03-31,65.3,$4.69,13.92
2022-12-31,63.42,$4.63,13.7
2022-09-30,56.81,$2.71,20.96
2022-06-30,67.12,$2.94,22.83
2022-03-31,64.19,$6.59,9.74
2021-09-30,53.6,$4.97,10.78
2021-06-30,62.69,$4.78,13.11
2021-03-31,63.54,$5.76,11.03
2020-12-31,54.58,$0.34,160.53
2020-09-30,44.89,$1.23,36.5
2021-12-31,57.76,$2.92,19.78
2020-06-30,54.82,$1.17,46.85
2020-03-31,61.61,$2.95,20.88
2019-12-31,68.36,$3.45,19.81
2019-09-30,71.02,$3.53,20.12
2019-06-30,67.85,$3.76,18.04
2019-03-31,66.06,$4.37,15.12
2018-12-31,59.03,$3.36,17.57
2018-09-30,58.17,$4.43,13.13
2018-06-30,55.46,$4.66,11.9
2018-03-31,56.28,$4.59,12.26
2017-12-31,58.02,$4.92,11.79
2017-09-30,57.23,$3.52,16.26
2017-06-30,53.11,$3.49,15.22
2017-03-31,51.02,$3.28,15.56
2016-12-31,48.4,$3.23,14.98
2016-09-30,47.4,$3.32,14.28
2016-06-30,52.29,$3.20,16.34
2016-03-31,49.64,$3.28,15.13
2015-12-31,43.21,$3.15,13.72
2015-09-30,39.33,$1.72,22.86
2015-06-30,37.21,$2.48,15.0
2015-03-31,36.28,$3.75,9.67
2014-09-30,32.28,$2.66,12.14
2014-06-30,33.47,$2.71,12.35
2014-03-31,32.2,$3.47,9.28
2013-12-31,30.81,$2.13,14.46
2013-09-30,30.14,$2.38,12.67
2014-12-31,37.34,$3.82,9.77
2013-06-30,30.29,$2.70,11.22
2013-03-31,28.07,$2.83,9.92
2012-12-31,25.12,$2.81,8.94
2012-09-30,27.68,$2.79,9.92
2012-06-30,25.38,$2.69,9.43
2012-03-31,24.6,$3.00,8.2
2011-12-31,25.26,$2.93,8.62
2011-09-30,23.93,$2.86,8.37
2011-06-30,23.12,$2.92,7.92
2011-03-31,23.03,$2.44,9.44
2010-12-31,21.86,$2.45,8.92
2010-09-30,20.36,$2.43,8.38
2010-06-30,19.37,$2.28,8.49
2010-03-31,19.47,$3.47,5.61
2009-12-31,19.27,$2.52,7.65
