Reinsurance Group Of America PE Ratio Historical Data,Reinsurance Group Of America PE Ratio Historical Data,Reinsurance Group Of America PE Ratio Historical Data,Reinsurance Group Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,219.11,,17.05
2024-06-30,204.37,$12.85,15.9
2024-03-31,191.25,$12.87,14.86
2023-12-31,159.6,$13.43,11.88
2023-09-30,142.49,$14.08,10.12
2023-06-30,135.29,$13.98,9.68
2023-03-31,128.82,$13.85,9.3
2022-12-31,137.15,$9.20,14.91
2022-09-30,120.71,$8.48,14.23
2022-06-30,111.85,$3.97,28.17
2022-03-31,103.74,$6.07,17.09
2021-12-31,103.1,$9.03,11.42
2021-09-30,104.09,$8.67,12.01
2021-06-30,106.0,$12.11,8.75
2021-03-31,116.56,$10.77,10.82
2020-12-31,106.54,$12.86,8.28
2020-09-30,86.98,$14.10,6.17
2019-12-31,146.08,$13.63,10.72
2019-09-30,142.63,$11.67,12.22
2019-06-30,138.54,$6.14,22.56
2019-03-31,126.06,$7.64,16.5
2018-12-31,123.99,$8.12,15.27
2020-03-31,75.72,$7.92,9.56
2018-09-30,127.29,$27.82,4.58
2018-06-30,117.04,$26.61,4.4
2018-03-31,134.59,$27.02,4.98
2017-12-31,135.83,$27.72,4.9
2017-09-30,121.15,$12.15,9.97
2017-06-30,111.08,$11.75,9.45
2017-03-31,109.5,$11.85,9.24
2016-12-31,108.16,$10.80,10.02
2016-09-30,92.44,$10.34,8.94
2016-06-30,82.72,$8.52,9.71
2016-03-31,81.77,$6.82,11.99
2015-12-31,72.36,$7.46,9.7
2015-09-30,76.32,$7.75,9.85
2015-06-30,79.62,$8.78,9.07
2015-03-31,77.93,$9.68,8.05
2014-12-31,73.0,$9.79,7.46
2014-09-30,66.5,$9.07,7.33
2014-06-30,65.21,$8.72,7.48
2014-03-31,65.56,$5.19,12.63
2013-12-31,63.48,$5.75,11.04
2013-09-30,54.7,$6.72,8.14
2013-06-30,56.18,$6.74,8.34
2020-06-30,71.15,$9.34,7.62
2012-12-31,43.17,$8.53,5.06
2012-09-30,46.46,$7.68,6.05
2012-06-30,42.54,$8.22,5.18
2012-03-31,47.39,$8.29,5.72
2011-12-31,41.5,$8.40,4.94
2013-03-31,48.33,$8.43,5.73
2011-09-30,36.37,$8.56,4.25
2011-06-30,48.01,$8.30,5.78
2011-03-31,49.43,$8.22,6.01
2010-12-31,42.21,$7.68,5.5
2010-09-30,37.86,$6.58,5.75
2010-06-30,35.75,$6.47,5.53
2010-03-31,40.98,$6.87,5.96
2009-12-31,37.08,$5.55,6.68
