Avidity Biosciences PE Ratio Historical Data,Avidity Biosciences PE Ratio Historical Data,Avidity Biosciences PE Ratio Historical Data,Avidity Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.52,,0.0
2024-06-30,40.85,$-2.94,0.0
2024-03-31,25.52,$-2.95,0.0
2023-12-31,9.05,$-2.90,0.0
2023-09-30,6.38,$-2.99,0.0
2023-06-30,11.09,$-3.10,0.0
2023-03-31,15.35,$-3.36,0.0
2022-12-31,22.19,$-3.33,0.0
2022-09-30,16.33,$-3.27,0.0
2022-06-30,14.53,$-3.13,0.0
2022-03-31,18.47,$-2.91,0.0
2021-12-31,23.77,$-2.84,0.0
2021-09-30,24.63,$-2.45,0.0
2021-06-30,24.71,$-2.08,0.0
2021-03-31,21.81,$-2.61,0.0
