PLDT PE Ratio Historical Data,PLDT PE Ratio Historical Data,PLDT PE Ratio Historical Data,PLDT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.14,,11.46
2024-06-30,23.82,$2.28,10.45
2024-03-31,23.92,$2.37,10.09
2023-12-31,21.99,$2.32,9.48
2023-09-30,19.39,$0.88,22.03
2023-06-30,21.1,$0.97,21.75
2023-03-31,21.8,$0.86,25.35
2022-12-31,19.69,$0.91,21.64
2022-09-30,21.85,$3.06,7.14
2022-06-30,25.18,$2.74,9.19
2022-03-31,29.08,$2.75,10.58
2021-12-31,28.87,$2.50,11.55
2021-09-30,26.32,$2.23,11.8
2021-06-30,20.53,$2.34,8.78
2021-03-31,20.44,$2.24,9.13
2020-12-31,21.17,$2.22,9.53
2020-09-30,20.51,$2.12,9.68
2020-06-30,18.01,$1.95,9.24
2020-03-31,15.17,$1.96,7.74
2019-09-30,15.61,$1.65,9.46
2019-06-30,17.05,$1.70,10.03
2019-03-31,14.88,$1.64,9.07
2018-12-31,14.68,$1.67,8.79
2018-09-30,17.65,$0.66,26.74
2018-06-30,15.66,$0.76,20.6
2018-03-31,18.65,$1.41,13.22
2017-12-31,19.77,$1.25,15.82
2017-09-30,20.98,$2.43,8.63
2017-06-30,22.58,$2.27,9.95
2017-03-31,20.56,$1.81,11.36
2016-12-31,17.29,$1.96,8.82
2016-09-30,22.39,$1.24,18.06
2016-06-30,27.26,$1.57,17.36
2016-03-31,26.49,$1.92,13.79
2015-12-31,25.28,$2.28,11.09
2015-09-30,27.29,$2.60,10.5
2015-06-30,35.86,$2.78,12.9
2015-03-31,35.97,$2.93,12.28
2014-12-31,35.39,$2.94,12.04
2014-09-30,38.57,$2.94,13.12
2014-06-30,36.92,$3.08,11.99
2014-03-31,33.43,$3.13,10.68
2013-12-31,31.56,$3.20,9.86
2013-09-30,35.63,$3.20,11.14
2013-06-30,34.8,$3.24,10.74
2013-03-31,36.38,$3.09,11.77
2012-12-31,30.24,$3.14,9.63
2012-09-30,32.56,$3.27,9.96
2012-06-30,30.67,$3.41,8.99
2012-03-31,29.99,$3.69,8.13
2011-12-31,26.67,$3.89,6.86
2011-09-30,22.93,$4.75,4.83
2011-06-30,24.21,$4.80,5.04
2011-03-31,23.97,$4.70,5.1
2010-12-31,24.47,$4.74,5.16
2010-09-30,25.13,$4.87,5.16
2010-06-30,20.73,$4.78,4.34
2010-03-31,21.67,$4.69,4.62
2009-12-31,21.85,$4.40,4.97
