Cosan S.A PE Ratio Historical Data,Cosan S.A PE Ratio Historical Data,Cosan S.A PE Ratio Historical Data,Cosan S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.44,,16.55
2024-06-30,9.74,$0.51,19.1
2024-03-31,12.95,$0.78,16.6
2023-09-30,13.59,$0.94,14.46
2021-06-30,18.26,$1.28,14.26
2020-09-30,14.1,$0.90,15.67
2020-06-30,14.3,$1.31,10.92
2020-03-31,11.6,$1.45,8.0
2019-12-31,21.53,$1.02,21.11
2019-09-30,14.05,$1.89,7.43
2019-06-30,12.6,$1.36,9.26
2019-03-31,10.93,$1.17,9.34
2018-12-31,8.3,$1.09,7.61
2018-09-30,6.35,$0.62,10.23
2018-06-30,7.19,$0.84,8.56
2018-03-31,9.71,$0.74,13.12
2017-12-31,9.07,$0.62,14.62
2017-09-30,7.6,$0.22,34.54
2017-06-30,5.99,$0.11,54.47
2017-03-31,7.91,$0.19,41.64
2016-12-31,6.96,$0.31,22.44
2016-09-30,6.62,$0.77,8.6
2016-06-30,6.03,$0.63,9.57
2016-03-31,4.56,$0.66,6.91
2015-12-31,3.42,$0.52,6.57
2015-09-30,2.68,$0.09,29.75
2015-06-30,5.71,$0.07,81.53
2015-03-31,5.86,$0.06,97.74
2014-12-31,7.18,$0.26,27.62
2014-09-30,9.97,$0.23,43.34
2014-06-30,12.56,$0.42,29.91
2014-03-31,10.56,$0.16,66.01
2013-12-31,12.71,$0.03,423.71
2013-09-30,14.24,$0.39,36.51
2013-06-30,14.64,$0.51,28.7
2013-03-31,17.66,$0.69,25.6
2012-12-31,15.68,$0.63,24.89
2012-09-30,14.37,$0.39,36.84
2012-06-30,11.01,$0.07,157.33
2012-03-31,12.89,$2.40,5.37
2011-12-31,9.51,$2.40,3.96
2011-09-30,8.22,$2.28,3.6
2011-06-30,10.4,$2.28,4.56
2011-03-31,10.92,$-0.04,0.0
2010-12-31,11.53,$-0.04,0.0
2010-09-30,9.81,$-0.04,0.0
2010-06-30,7.71,$-0.04,0.0
2010-03-31,7.79,0,0.0
2009-12-31,7.18,0,0.0
