Kemper PE Ratio Historical Data,Kemper PE Ratio Historical Data,Kemper PE Ratio Historical Data,Kemper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.4,,82.56
2024-06-30,59.04,$0.78,75.69
2024-03-31,61.3,$-1.90,0.0
2023-12-31,47.94,$-4.25,0.0
2023-09-30,41.08,$-5.92,0.0
2023-06-30,46.86,$-4.83,0.0
2023-03-31,52.71,$-4.48,0.0
2022-12-31,47.21,$-4.72,0.0
2022-09-30,39.36,$-5.51,0.0
2022-06-30,45.4,$-5.50,0.0
2022-03-31,53.24,$-5.30,0.0
2021-12-31,55.02,$-1.96,0.0
2021-09-30,62.2,$1.16,53.62
2021-06-30,68.5,$4.17,16.43
2021-03-31,73.6,$7.05,10.44
2020-12-31,70.65,$6.15,11.49
2020-09-30,61.19,$6.54,9.36
2020-06-30,66.15,$6.62,9.99
2020-03-31,67.49,$6.55,10.3
2019-12-31,70.07,$7.95,8.81
2019-09-30,70.21,$6.20,11.32
2019-06-30,77.47,$5.69,13.61
2019-03-31,68.16,$4.58,14.88
2018-12-31,59.24,$3.25,18.23
2018-09-30,71.57,$3.86,18.54
2018-06-30,67.09,$3.38,19.85
2018-03-31,50.39,$3.36,15.0
2017-12-31,60.66,$2.33,26.03
2017-09-30,46.49,$2.22,20.94
2017-06-30,33.7,$0.98,34.38
2017-03-31,34.61,$0.35,98.89
2016-12-31,38.22,$0.32,119.44
2016-09-30,33.71,$-0.19,0.0
2016-06-30,26.39,$0.86,30.68
2016-03-31,25.0,$1.35,18.51
2015-12-31,31.17,$1.65,18.89
2015-09-30,29.42,$2.80,10.51
2015-06-30,31.87,$2.16,14.75
2015-03-31,31.99,$1.76,18.18
2014-12-31,29.46,$2.13,13.83
2014-09-30,27.68,$1.88,14.72
2014-06-30,29.68,$3.02,9.83
2014-03-31,31.32,$3.44,9.1
2013-12-31,32.48,$3.81,8.53
2013-09-30,26.53,$2.85,9.31
2013-06-30,26.86,$2.57,10.45
2013-03-31,25.39,$2.02,12.57
2012-12-31,22.79,$1.74,13.1
2012-09-30,23.53,$2.13,11.05
2012-06-30,23.38,$1.26,18.55
2012-03-31,22.84,$1.21,18.88
2011-12-31,21.85,$1.38,15.83
2011-09-30,17.76,$1.99,8.92
2011-06-30,21.78,$2.49,8.74
2011-03-31,22.48,$3.27,6.88
2010-12-31,17.72,$3.44,5.15
2010-09-30,17.45,$3.41,5.12
2010-03-31,19.73,$3.50,5.64
2009-12-31,15.36,$2.64,5.82
2009-09-30,13.46,$2.19,6.14
