Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data,Liberty Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.92,,0.0
2024-06-30,17.85,$-4.63,0.0
2024-03-31,17.64,$-6.93,0.0
2023-12-31,18.64,$-8.25,0.0
2023-09-30,18.56,$4.85,3.83
2023-03-31,20.38,$8.75,2.33
2022-12-31,19.43,$12.29,1.58
2022-09-30,16.5,$13.44,1.23
2022-06-30,22.09,$9.06,2.44
2022-03-31,25.91,$23.14,1.12
2021-12-31,28.09,$23.56,1.19
2021-09-30,29.46,$20.69,1.42
2021-06-30,27.04,$18.47,1.46
2021-03-31,25.54,$-1.94,0.0
2020-12-31,23.65,$-2.81,0.0
2020-09-30,20.54,$-3.28,0.0
2020-06-30,21.51,$16.36,1.31
2020-03-31,15.71,$17.29,0.91
2019-12-31,21.8,$15.80,1.38
2019-09-30,23.79,$18.02,1.32
2019-06-30,26.53,$1.34,19.8
2019-03-31,24.21,$2.42,10.0
2018-12-31,20.64,$1.73,11.93
2018-09-30,28.16,$1.15,24.49
2018-06-30,26.61,$-0.83,0.0
2017-12-31,33.84,$-2.31,0.0
2017-09-30,32.7,$0.82,39.88
2017-06-30,31.18,$-0.10,0.0
2017-03-31,35.04,$0.47,74.55
2016-12-31,29.7,$1.03,28.83
2018-03-31,30.43,$-1.82,0.0
2016-09-30,33.04,$-0.67,0.0
2016-06-30,28.65,$-0.37,0.0
2016-03-31,37.56,$-1.13,0.0
2015-12-31,40.77,$-1.34,0.0
2015-09-30,41.02,$-1.64,0.0
2015-06-30,50.63,$-1.56,0.0
2015-03-31,49.81,$-1.35,0.0
2014-12-31,48.31,$-0.84,0.0
2014-09-30,41.02,$-0.38,0.0
2014-06-30,42.31,$-1.62,0.0
2014-03-31,40.71,$-1.32,0.0
2013-12-31,42.16,$-1.22,0.0
2013-09-30,37.72,$-1.70,0.0
2013-06-30,33.95,$-0.70,0.0
2013-03-31,34.32,$0.63,54.9
2012-12-31,29.38,$0.58,50.65
2012-09-30,28.26,$0.43,66.49
2012-06-30,23.88,$-0.13,0.0
2012-03-31,23.95,$-2.11,0.0
2011-12-31,19.76,$-1.46,0.0
2011-09-30,17.31,$-0.56,0.0
2011-06-30,21.35,$0.03,610.0
2011-03-31,20.0,$-0.61,0.0
2010-12-31,16.95,$-1.22,0.0
2010-09-30,15.28,$-1.33,0.0
2010-06-30,13.0,$-1.33,0.0
2010-03-31,14.45,0,0.0
2009-12-31,10.93,0,0.0
2009-09-30,11.23,$-1.13,0.0
